Description	Count	Contig
CDS	270	EU418428.2
connector	1	EU418428.2
DNA, RNA and nucleotide metabolism	38	EU418428.2
head and packaging	19	EU418428.2
integration and excision	0	EU418428.2
lysis	5	EU418428.2
moron, auxiliary metabolic gene and host takeover	12	EU418428.2
other	22	EU418428.2
tail	15	EU418428.2
transcription regulation	4	EU418428.2
unknown function	154	EU418428.2
VFDB_Virulence_Factors	0	EU418428.2
CARD_AMR	0	EU418428.2
ACR_anti_crispr	0	EU418428.2
Defensefinder	0	EU418428.2
Netflax	0	EU418428.2
