Description	Count	Contig
CDS	256	KY779849.1
connector	1	KY779849.1
DNA, RNA and nucleotide metabolism	30	KY779849.1
head and packaging	23	KY779849.1
integration and excision	0	KY779849.1
lysis	3	KY779849.1
moron, auxiliary metabolic gene and host takeover	13	KY779849.1
other	19	KY779849.1
tail	15	KY779849.1
transcription regulation	4	KY779849.1
unknown function	148	KY779849.1
VFDB_Virulence_Factors	0	KY779849.1
CARD_AMR	0	KY779849.1
ACR_anti_crispr	0	KY779849.1
Defensefinder	0	KY779849.1
Netflax	0	KY779849.1
