Description	Count	Contig
CDS	275	MF398190.1
connector	1	MF398190.1
DNA, RNA and nucleotide metabolism	42	MF398190.1
head and packaging	19	MF398190.1
integration and excision	0	MF398190.1
lysis	5	MF398190.1
moron, auxiliary metabolic gene and host takeover	12	MF398190.1
other	21	MF398190.1
tail	14	MF398190.1
transcription regulation	4	MF398190.1
unknown function	157	MF398190.1
VFDB_Virulence_Factors	0	MF398190.1
CARD_AMR	0	MF398190.1
ACR_anti_crispr	0	MF398190.1
Defensefinder	0	MF398190.1
Netflax	0	MF398190.1
