Description	Count	Contig
CDS	248	MH159197.1
connector	1	MH159197.1
DNA, RNA and nucleotide metabolism	29	MH159197.1
head and packaging	22	MH159197.1
integration and excision	0	MH159197.1
lysis	3	MH159197.1
moron, auxiliary metabolic gene and host takeover	13	MH159197.1
other	20	MH159197.1
tail	15	MH159197.1
transcription regulation	4	MH159197.1
unknown function	141	MH159197.1
VFDB_Virulence_Factors	0	MH159197.1
CARD_AMR	0	MH159197.1
ACR_anti_crispr	0	MH159197.1
Defensefinder	0	MH159197.1
Netflax	0	MH159197.1
