Description	Count	Contig
CDS	245	MN045228.1
connector	1	MN045228.1
DNA, RNA and nucleotide metabolism	32	MN045228.1
head and packaging	21	MN045228.1
integration and excision	0	MN045228.1
lysis	3	MN045228.1
moron, auxiliary metabolic gene and host takeover	12	MN045228.1
other	20	MN045228.1
tail	14	MN045228.1
transcription regulation	4	MN045228.1
unknown function	138	MN045228.1
VFDB_Virulence_Factors	0	MN045228.1
CARD_AMR	0	MN045228.1
ACR_anti_crispr	0	MN045228.1
Defensefinder	0	MN045228.1
Netflax	0	MN045228.1
