Description	Count	Contig
CDS	22	MN150710.1
connector	2	MN150710.1
DNA, RNA and nucleotide metabolism	2	MN150710.1
head and packaging	2	MN150710.1
integration and excision	0	MN150710.1
lysis	2	MN150710.1
moron, auxiliary metabolic gene and host takeover	0	MN150710.1
other	0	MN150710.1
tail	4	MN150710.1
transcription regulation	0	MN150710.1
unknown function	10	MN150710.1
VFDB_Virulence_Factors	0	MN150710.1
CARD_AMR	0	MN150710.1
ACR_anti_crispr	0	MN150710.1
Defensefinder	0	MN150710.1
Netflax	0	MN150710.1
