Description	Count	Contig
CDS	22	MT926124.1
connector	2	MT926124.1
DNA, RNA and nucleotide metabolism	2	MT926124.1
head and packaging	2	MT926124.1
integration and excision	0	MT926124.1
lysis	2	MT926124.1
moron, auxiliary metabolic gene and host takeover	0	MT926124.1
other	0	MT926124.1
tail	4	MT926124.1
transcription regulation	0	MT926124.1
unknown function	10	MT926124.1
VFDB_Virulence_Factors	0	MT926124.1
CARD_AMR	0	MT926124.1
ACR_anti_crispr	0	MT926124.1
Defensefinder	0	MT926124.1
Netflax	0	MT926124.1
