Description	Count	Contig
CDS	214	NC_007021.1
connector	1	NC_007021.1
DNA, RNA and nucleotide metabolism	34	NC_007021.1
head and packaging	19	NC_007021.1
integration and excision	2	NC_007021.1
lysis	3	NC_007021.1
moron, auxiliary metabolic gene and host takeover	7	NC_007021.1
other	12	NC_007021.1
tail	15	NC_007021.1
transcription regulation	2	NC_007021.1
unknown function	119	NC_007021.1
VFDB_Virulence_Factors	0	NC_007021.1
CARD_AMR	0	NC_007021.1
ACR_anti_crispr	0	NC_007021.1
Defensefinder	0	NC_007021.1
Netflax	0	NC_007021.1
