Description	Count	Contig
CDS	82	NC_007056.1
connector	5	NC_007056.1
DNA, RNA and nucleotide metabolism	12	NC_007056.1
head and packaging	7	NC_007056.1
integration and excision	1	NC_007056.1
lysis	2	NC_007056.1
moron, auxiliary metabolic gene and host takeover	1	NC_007056.1
other	7	NC_007056.1
tail	8	NC_007056.1
transcription regulation	7	NC_007056.1
unknown function	32	NC_007056.1
VFDB_Virulence_Factors	0	NC_007056.1
CARD_AMR	0	NC_007056.1
ACR_anti_crispr	0	NC_007056.1
Defensefinder	0	NC_007056.1
Netflax	1	NC_007056.1
