Description	Count	Contig
CDS	74	NC_021863.1
connector	4	NC_021863.1
DNA, RNA and nucleotide metabolism	10	NC_021863.1
head and packaging	7	NC_021863.1
integration and excision	1	NC_021863.1
lysis	2	NC_021863.1
moron, auxiliary metabolic gene and host takeover	3	NC_021863.1
other	4	NC_021863.1
tail	10	NC_021863.1
transcription regulation	8	NC_021863.1
unknown function	25	NC_021863.1
VFDB_Virulence_Factors	0	NC_021863.1
CARD_AMR	0	NC_021863.1
ACR_anti_crispr	0	NC_021863.1
Defensefinder	0	NC_021863.1
Netflax	1	NC_021863.1
