Description	Count	Contig
CDS	215	NC_023009.1
connector	1	NC_023009.1
DNA, RNA and nucleotide metabolism	33	NC_023009.1
head and packaging	19	NC_023009.1
integration and excision	0	NC_023009.1
lysis	5	NC_023009.1
moron, auxiliary metabolic gene and host takeover	8	NC_023009.1
other	17	NC_023009.1
tail	15	NC_023009.1
transcription regulation	3	NC_023009.1
unknown function	114	NC_023009.1
VFDB_Virulence_Factors	0	NC_023009.1
CARD_AMR	0	NC_023009.1
ACR_anti_crispr	0	NC_023009.1
Defensefinder	0	NC_023009.1
Netflax	0	NC_023009.1
