Description	Count	Contig
CDS	270	NC_047722.1
connector	1	NC_047722.1
DNA, RNA and nucleotide metabolism	38	NC_047722.1
head and packaging	19	NC_047722.1
integration and excision	0	NC_047722.1
lysis	5	NC_047722.1
moron, auxiliary metabolic gene and host takeover	12	NC_047722.1
other	22	NC_047722.1
tail	15	NC_047722.1
transcription regulation	4	NC_047722.1
unknown function	154	NC_047722.1
VFDB_Virulence_Factors	0	NC_047722.1
CARD_AMR	0	NC_047722.1
ACR_anti_crispr	0	NC_047722.1
Defensefinder	0	NC_047722.1
Netflax	0	NC_047722.1
