Description	Count	Contig
CDS	252	NC_047723.1
connector	1	NC_047723.1
DNA, RNA and nucleotide metabolism	37	NC_047723.1
head and packaging	19	NC_047723.1
integration and excision	0	NC_047723.1
lysis	5	NC_047723.1
moron, auxiliary metabolic gene and host takeover	9	NC_047723.1
other	20	NC_047723.1
tail	15	NC_047723.1
transcription regulation	3	NC_047723.1
unknown function	143	NC_047723.1
VFDB_Virulence_Factors	0	NC_047723.1
CARD_AMR	0	NC_047723.1
ACR_anti_crispr	0	NC_047723.1
Defensefinder	0	NC_047723.1
Netflax	0	NC_047723.1
