Phage,Accession,Genome_Size_bp,tRNA_Count_functional,tRNA_Count_pseudo,tRNA_Types,Anticodons,Pattern,Has_Ile,Has_Phe,Has_Asp,Pattern_Status,CAT_Ambiguous_n,Flags
EU418428.2,EU418428.2,145542,3,0,Asp;Ile2;Phe,CAT;GAA;GTC,partial-canonical,No,Yes,Yes,validated (anchor fully recovered de-novo),1,
KY779849.1,KY779849.1,142499,3,0,Asp;Ile2;Phe,CAT;GAA;GTC,partial-canonical,No,Yes,Yes,validated (anchor fully recovered de-novo),1,
MF398190.1,MF398190.1,148464,3,0,Asp;Ile2;Phe,CAT;GAA;GTC,partial-canonical,No,Yes,Yes,validated (anchor fully recovered de-novo),1,
MH159197.1,MH159197.1,141384,3,0,Asp;Ile2;Phe,CAT;GAA;GTC,partial-canonical,No,Yes,Yes,validated (anchor fully recovered de-novo),1,
MN045228.1,MN045228.1,141712,3,0,Asp;Ile2;Phe,CAT;GAA;GTC,partial-canonical,No,Yes,Yes,validated (anchor fully recovered de-novo),1,
MN047438.1,MN047438.1,148511,3,0,Asp;Ile2;Phe,CAT;GAA;GTC,partial-canonical,No,Yes,Yes,validated (anchor fully recovered de-novo),1,
MN150710.1,MN150710.1,18028,0,0,—,—,none,No,No,No,validated (anchor fully recovered de-novo),0,
MN336261.1,MN336261.1,139606,3,0,Asp;Ile2;Phe,CAT;GAA;GTC,partial-canonical,No,Yes,Yes,validated (anchor fully recovered de-novo),1,
MN336262.1,MN336262.1,138231,3,0,Asp;Ile2;Phe,CAT;GAA;GTC,partial-canonical,No,Yes,Yes,validated (anchor fully recovered de-novo),1,
MN336263.1,MN336263.1,138231,3,0,Asp;Ile2;Phe,CAT;GAA;GTC,partial-canonical,No,Yes,Yes,validated (anchor fully recovered de-novo),1,
MT926124.1,MT926124.1,17471,0,0,—,—,none,No,No,No,validated (anchor fully recovered de-novo),0,
NC_007021.1,NC_007021.1,130706,1,0,Ile2,CAT,noncanonical,No,No,No,validated (anchor fully recovered de-novo),1,
NC_007056.1,NC_007056.1,45286,0,0,—,—,none,No,No,No,validated (anchor fully recovered de-novo),0,
NC_019726.1,NC_019726.1,141836,3,0,Asp;Ile2;Phe,CAT;GAA;GTC,partial-canonical,No,Yes,Yes,validated (anchor fully recovered de-novo),1,
NC_021863.1,NC_021863.1,42652,0,0,—,—,none,No,No,No,validated (anchor fully recovered de-novo),0,
NC_023009.1,NC_023009.1,127188,3,0,Asp;Ile2;Phe,CAT;GAA;GTC,partial-canonical,No,Yes,Yes,validated (anchor fully recovered de-novo),1,
NC_047722.1,NC_047722.1,145647,3,0,Asp;Ile2;Phe,CAT;GAA;GTC,partial-canonical,No,Yes,Yes,validated (anchor fully recovered de-novo),1,
NC_047723.1,NC_047723.1,141018,3,0,Asp;Ile2;Phe,CAT;GAA;GTC,partial-canonical,No,Yes,Yes,validated (anchor fully recovered de-novo),1,
NC_047724.1,NC_047724.1,148564,3,0,Asp;Ile2;Phe,CAT;GAA;GTC,partial-canonical,No,Yes,Yes,validated (anchor fully recovered de-novo),1,
NC_047725.1,NC_047725.1,148481,3,0,Asp;Ile2;Phe,CAT;GAA;GTC,partial-canonical,No,Yes,Yes,validated (anchor fully recovered de-novo),1,
NC_047726.1,NC_047726.1,148243,3,0,Asp;Ile2;Phe,CAT;GAA;GTC,partial-canonical,No,Yes,Yes,validated (anchor fully recovered de-novo),1,
NC_047727.1,NC_047727.1,147590,3,0,Asp;Ile2;Phe,CAT;GAA;GTC,partial-canonical,No,Yes,Yes,validated (anchor fully recovered de-novo),1,
