Sequence   		tRNA  	Bounds	tRNA	Anti	Intron Bounds	Inf	      
Name       	tRNA #	Begin 	End   	Type	Codon	Begin	End	Score	Note
--------   	------	----- 	------	----	-----	-----	----	------	------
EU418428_2 	1	37650 	37577 	Asp	GTC	0	0	62.8	
EU418428_2 	2	37570 	37498 	Phe	GAA	0	0	64.0	
EU418428_2 	3	14269 	14198 	Ile2	CAT	0	0	63.1	
KY779849_1 	1	41369 	41296 	Asp	GTC	0	0	65.7	
KY779849_1 	2	41289 	41217 	Phe	GAA	0	0	64.0	
KY779849_1 	3	19559 	19488 	Ile2	CAT	0	0	63.1	
MF398190_1 	1	38198 	38125 	Asp	GTC	0	0	62.8	
MF398190_1 	2	38118 	38046 	Phe	GAA	0	0	64.0	
MF398190_1 	3	14821 	14750 	Ile2	CAT	0	0	63.1	
MH159197_1 	1	130432	130361	Ile2	CAT	0	0	65.1	
MH159197_1 	2	10936 	10863 	Asp	GTC	0	0	65.7	
MH159197_1 	3	10856 	10784 	Phe	GAA	0	0	64.0	
MN045228_1 	1	38154 	38081 	Asp	GTC	0	0	62.8	
MN045228_1 	2	38074 	38002 	Phe	GAA	0	0	64.0	
MN045228_1 	3	16644 	16573 	Ile2	CAT	0	0	63.1	
MN047438_1 	1	37629 	37556 	Asp	GTC	0	0	62.8	
MN047438_1 	2	37549 	37477 	Phe	GAA	0	0	64.0	
MN047438_1 	3	14398 	14327 	Ile2	CAT	0	0	63.1	
MN336261_1 	1	30641 	30568 	Asp	GTC	0	0	62.8	
MN336261_1 	2	30561 	30489 	Phe	GAA	0	0	64.0	
MN336261_1 	3	7264  	7193  	Ile2	CAT	0	0	63.1	
MN336262_1 	1	30641 	30568 	Asp	GTC	0	0	62.8	
MN336262_1 	2	30561 	30489 	Phe	GAA	0	0	64.0	
MN336262_1 	3	7264  	7193  	Ile2	CAT	0	0	63.1	
MN336263_1 	1	30641 	30568 	Asp	GTC	0	0	62.8	
MN336263_1 	2	30561 	30489 	Phe	GAA	0	0	64.0	
MN336263_1 	3	7264  	7193  	Ile2	CAT	0	0	63.1	
NC_007021_1	1	107563	107492	Ile2	CAT	0	0	67.1	
NC_019726_1	1	50344 	50417 	Asp	GTC	0	0	62.8	
NC_019726_1	2	50424 	50496 	Phe	GAA	0	0	64.0	
NC_019726_1	3	72975 	73046 	Ile2	CAT	0	0	62.0	
NC_023009_1	1	30579 	30506 	Asp	GTC	0	0	62.8	
NC_023009_1	2	30499 	30427 	Phe	GAA	0	0	64.0	
NC_023009_1	3	7264  	7193  	Ile2	CAT	0	0	63.1	
NC_047722_1	1	37647 	37574 	Asp	GTC	0	0	62.8	
NC_047722_1	2	37567 	37495 	Phe	GAA	0	0	64.0	
NC_047722_1	3	14269 	14198 	Ile2	CAT	0	0	63.1	
NC_047723_1	1	37522 	37449 	Asp	GTC	0	0	62.8	
NC_047723_1	2	37442 	37370 	Phe	GAA	0	0	64.0	
NC_047723_1	3	14144 	14073 	Ile2	CAT	0	0	63.1	
NC_047724_1	1	38569 	38496 	Asp	GTC	0	0	62.8	
NC_047724_1	2	38489 	38417 	Phe	GAA	0	0	64.0	
NC_047724_1	3	15191 	15120 	Ile2	CAT	0	0	63.1	
NC_047725_1	1	38525 	38452 	Asp	GTC	0	0	62.8	
NC_047725_1	2	38445 	38373 	Phe	GAA	0	0	64.0	
NC_047725_1	3	15150 	15079 	Ile2	CAT	0	0	63.1	
NC_047726_1	1	38167 	38094 	Asp	GTC	0	0	62.8	
NC_047726_1	2	38087 	38015 	Phe	GAA	0	0	64.0	
NC_047726_1	3	14793 	14722 	Ile2	CAT	0	0	63.1	
NC_047727_1	1	37627 	37554 	Asp	GTC	0	0	62.8	
NC_047727_1	2	37547 	37475 	Phe	GAA	0	0	64.0	
NC_047727_1	3	14252 	14181 	Ile2	CAT	0	0	63.1	
