"genome"	"NC_007056_Aureus_phage_EW"	"NC_021863_Aureus_phage_SA13"	"MN150710_Aureus_phage_vB_SauP-436A1"	"MT926124_Aureus_phage_Portland"	"NC_055906_Staphylococcus_phage_vB_SauP_EBHT"	"MW248466_Staphylococcus_phage_MarsHill"	"NC_007021_Aureus_phage_Twort"	"KY779849_Aureus_phage_qdsa002"	"MH159197_Aureus_phage_VB_SavM_JYL01"	"MN045228_Aureus_phage_Maine"	"NC_019726_Aureus_phage_JD007"	"NC_023009_Aureus_phage_Sb-1"	"NC_047723_Aureus_phage_A3R"	"MN047438_Aureus_phage_vB_SauM-515A1"	"MF398190_Aureus_phage_vB_SauM-fRuSau02"	"NC_047726_Aureus_phage_MSA6"	"NC_047724_Aureus_phage_676Z"	"NC_047725_Aureus_phage_Fi200W"	"NC_047727_Aureus_phage_P4W"	"EU418428_Aureus_phage_A5W"	"NC_047722_Aureus_phage_Staph1N"	"MN336261_Aureus_phage_Sb1_8383"	"MN336262_Aureus_phage_Sb1M_6168"	"MN336263_Aureus_phage_Sb1M_9832"
"NC_007056_Aureus_phage_EW"	100	27.45	0	0.424	0.424	0.094	0.52	0.423	0.359	0.359	0.36	0.39	0.359	0.347	0.347	0.348	0.347	0.345	0.347	0.353	0.352	0.364	0.367	0.367
"NC_021863_Aureus_phage_SA13"	27.45	100	0	0.269	0.269	0.117	0.326	0.136	0.13	0.171	0.175	0.147	0.092	0.131	0.131	0.131	0.115	0.131	0.115	0.133	0.133	0.137	0.138	0.138
"MN150710_Aureus_phage_vB_SauP-436A1"	0	0	100	87.91	87.91	0.183	0.311	0.264	0.315	0.255	0.221	0.265	0.238	0.245	0.245	0.245	0.244	0.231	0.25	0.231	0.231	0.259	0.261	0.261
"MT926124_Aureus_phage_Portland"	0.424	0.269	87.91	100	100	0.183	0.178	0.212	0.241	0.322	0.212	0.196	0.156	0.188	0.188	0.188	0.189	0.233	0.211	0.193	0.192	0.199	0.2	0.2
"NC_055906_Staphylococcus_phage_vB_SauP_EBHT"	0.424	0.269	87.91	100	100	0.183	0.178	0.212	0.241	0.322	0.212	0.196	0.156	0.188	0.188	0.188	0.189	0.233	0.211	0.193	0.192	0.199	0.2	0.2
"MW248466_Staphylococcus_phage_MarsHill"	0	0.117	0.183	0.183	0.183	100	1.088	0.952	0.968	0.895	0.947	0.851	0.805	0.993	1.005	1	0.944	0.955	0.96	0.933	0.933	0.959	0.962	0.962
"NC_007021_Aureus_phage_Twort"	0.52	0.326	0.311	0.178	0.178	1.088	100	34.839	35.399	34.915	35.175	36.841	35.393	34.88	34.617	34.697	34.786	34.876	34.792	34.545	34.54	35.474	35.657	35.655
"KY779849_Aureus_phage_qdsa002"	0.423	0.136	0.264	0.212	0.212	0.952	34.839	100	95.348	89.036	90.31	84.395	85.165	86.526	86.63	86.775	87.045	87.252	87.319	87.887	87.913	87.768	88.148	88.148
"MH159197_Aureus_phage_VB_SavM_JYL01"	0.359	0.13	0.315	0.241	0.241	0.968	35.399	95.348	100	86.195	87.289	81.983	82.559	83.617	83.736	83.873	84.161	84.356	84.656	85.314	85.341	85.069	85.433	85.433
"MN045228_Aureus_phage_Maine"	0.359	0.171	0.255	0.322	0.322	0.895	34.915	89.036	86.195	100	93.537	87.967	87.537	89.402	89.159	89.337	90.159	89.865	89.572	90.143	90.182	90.808	91.209	91.209
"NC_019726_Aureus_phage_JD007"	0.36	0.175	0.221	0.212	0.212	0.947	35.175	90.31	87.289	93.537	100	87.063	87.899	88.98	89.097	89.276	89.818	89.927	90.086	90.704	90.744	90.601	90.949	90.949
"NC_023009_Aureus_phage_Sb-1"	0.39	0.147	0.265	0.196	0.196	0.851	36.841	84.395	81.983	87.967	87.063	100	92.235	93.488	93.111	93.117	92.532	92.804	92.495	93.206	93.173	95.367	95.349	95.349
"NC_047723_Aureus_phage_A3R"	0.359	0.092	0.238	0.156	0.156	0.805	35.393	85.165	82.559	87.537	87.899	92.235	100	93.961	94.206	94.314	96.99	96.651	96.849	96.236	96.274	95.379	95.787	95.787
"MN047438_Aureus_phage_vB_SauM-515A1"	0.347	0.131	0.245	0.188	0.188	0.993	34.88	86.526	83.617	89.402	88.98	93.488	93.961	100	99.381	99.248	96.744	97.053	96.895	97.452	97.49	98.555	98.427	98.427
"MF398190_Aureus_phage_vB_SauM-fRuSau02"	0.347	0.131	0.245	0.188	0.188	1.005	34.617	86.63	83.736	89.159	89.097	93.111	94.206	99.381	100	99.823	96.965	97.277	97.117	97.737	97.713	98.538	98.555	98.555
"NC_047726_Aureus_phage_MSA6"	0.348	0.131	0.245	0.188	0.188	1	34.697	86.775	83.873	89.337	89.276	93.117	94.314	99.248	99.823	100	97.136	97.444	97.223	97.782	97.821	98.513	98.663	98.663
"NC_047724_Aureus_phage_676Z"	0.347	0.115	0.244	0.189	0.189	0.944	34.786	87.045	84.161	90.159	89.818	92.532	96.99	96.744	96.965	97.136	100	99.376	99.094	98.2	98.238	98.146	98.557	98.557
"NC_047725_Aureus_phage_Fi200W"	0.345	0.131	0.231	0.233	0.233	0.955	34.876	87.252	84.356	89.865	89.927	92.804	96.651	97.053	97.277	97.444	99.376	100	99.446	98.462	98.501	98.373	98.785	98.785
"NC_047727_Aureus_phage_P4W"	0.347	0.115	0.25	0.211	0.211	0.96	34.792	87.319	84.656	89.572	90.086	92.495	96.849	96.895	97.117	97.223	99.094	99.446	100	98.924	98.962	98.193	98.605	98.605
"EU418428_Aureus_phage_A5W"	0.353	0.133	0.231	0.193	0.193	0.933	34.545	87.887	85.314	90.143	90.704	93.206	96.236	97.452	97.737	97.782	98.2	98.462	98.924	100	99.961	98.797	99.216	99.216
"NC_047722_Aureus_phage_Staph1N"	0.352	0.133	0.231	0.192	0.192	0.933	34.54	87.913	85.341	90.182	90.744	93.173	96.274	97.49	97.713	97.821	98.238	98.501	98.962	99.961	100	98.837	99.255	99.255
"MN336261_Aureus_phage_Sb1_8383"	0.364	0.137	0.259	0.199	0.199	0.959	35.474	87.768	85.069	90.808	90.601	95.367	95.379	98.555	98.538	98.513	98.146	98.373	98.193	98.797	98.837	100	99.7	99.7
"MN336262_Aureus_phage_Sb1M_6168"	0.367	0.138	0.261	0.2	0.2	0.962	35.657	88.148	85.433	91.209	90.949	95.349	95.787	98.427	98.555	98.663	98.557	98.785	98.605	99.216	99.255	99.7	100	99.999
"MN336263_Aureus_phage_Sb1M_9832"	0.367	0.138	0.261	0.2	0.2	0.962	35.655	88.148	85.433	91.209	90.949	95.349	95.787	98.427	98.555	98.663	98.557	98.785	98.605	99.216	99.255	99.7	99.999	100
