ID	start	end	strand	phrog_id	phrog_category	phynteny_category	phynteny_score	phynteny_confidence	phage
EU418428.2_0	84	180	-	No_PHROG	unknown function	head and packaging	1.0891	0.1614	EU418428.2
EU418428.2_1	273	381	+	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.4309	0.1779	EU418428.2
EU418428.2_2	485	785	+	654	unknown function	DNA, RNA and nucleotide metabolism	3.5472	0.2116	EU418428.2
EU418428.2_3	800	986	+	3204	unknown function	moron, auxiliary metabolic gene and host takeover	8.0581	0.3600	EU418428.2
EU418428.2_4	1092	1383	+	654	unknown function	integration and excision	2.3029	0.2015	EU418428.2
EU418428.2_5	1382	1670	+	654	unknown function	integration and excision	1.2433	0.2083	EU418428.2
EU418428.2_6	1669	1963	+	654	unknown function	DNA, RNA and nucleotide metabolism	1.9740	0.2134	EU418428.2
EU418428.2_7	1966	2224	+	1099	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_8	2301	2541	+	1099	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_9	2551	2899	+	3522	unknown function	integration and excision	1.0230	0.1834	EU418428.2
EU418428.2_10	3107	3446	-	3077	unknown function	DNA, RNA and nucleotide metabolism	1.4618	0.2238	EU418428.2
EU418428.2_11	3424	3574	+	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.2102	0.2427	EU418428.2
EU418428.2_12	3597	3711	-	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.4639	0.2006	EU418428.2
EU418428.2_13	3757	4066	+	2601	unknown function	DNA, RNA and nucleotide metabolism	2.8145	0.2004	EU418428.2
EU418428.2_14	4084	4282	-	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.8761	0.2333	EU418428.2
EU418428.2_15	4271	4556	+	3164	unknown function	DNA, RNA and nucleotide metabolism	2.5426	0.1950	EU418428.2
EU418428.2_16	4630	4822	+	3388	other	NA	NA	NA	EU418428.2
EU418428.2_17	4808	4904	+	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.0298	0.1727	EU418428.2
EU418428.2_18	4930	5071	+	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	2.6395	0.1608	EU418428.2
EU418428.2_19	5138	5627	-	59	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_20	5785	5953	+	3325	other	NA	NA	NA	EU418428.2
EU418428.2_21	6022	6154	+	3837	unknown function	DNA, RNA and nucleotide metabolism	2.6402	0.1762	EU418428.2
EU418428.2_22	6321	6645	+	3276	unknown function	DNA, RNA and nucleotide metabolism	1.3749	0.2237	EU418428.2
EU418428.2_23	6744	6981	+	3480	unknown function	integration and excision	1.0742	0.1756	EU418428.2
EU418428.2_24	7060	7531	+	2543	unknown function	DNA, RNA and nucleotide metabolism	1.0222	0.2196	EU418428.2
EU418428.2_25	7589	7763	+	3789	unknown function	DNA, RNA and nucleotide metabolism	1.6028	0.1919	EU418428.2
EU418428.2_26	7762	8032	+	3549	unknown function	DNA, RNA and nucleotide metabolism	1.8088	0.1986	EU418428.2
EU418428.2_27	8116	8338	+	30315	unknown function	DNA, RNA and nucleotide metabolism	1.1404	0.1938	EU418428.2
EU418428.2_28	8411	8513	+	22992	unknown function	moron, auxiliary metabolic gene and host takeover	5.7332	0.2472	EU418428.2
EU418428.2_29	8528	8651	-	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	6.7466	0.2683	EU418428.2
EU418428.2_30	8634	8871	-	2884	unknown function	moron, auxiliary metabolic gene and host takeover	8.7186	0.4407	EU418428.2
EU418428.2_31	8870	9044	-	4355	unknown function	moron, auxiliary metabolic gene and host takeover	9.5621	0.7030	EU418428.2
EU418428.2_32	9050	9305	-	16296	unknown function	DNA, RNA and nucleotide metabolism	2.5469	0.2129	EU418428.2
EU418428.2_33	9307	9499	-	4249	unknown function	moron, auxiliary metabolic gene and host takeover	9.7017	0.7717	EU418428.2
EU418428.2_34	9495	9981	-	3619	unknown function	moron, auxiliary metabolic gene and host takeover	9.4421	0.6436	EU418428.2
EU418428.2_35	9973	10405	-	2349	unknown function	DNA, RNA and nucleotide metabolism	2.2207	0.1774	EU418428.2
EU418428.2_36	10418	10961	-	4045	unknown function	DNA, RNA and nucleotide metabolism	6.0988	0.2344	EU418428.2
EU418428.2_37	10972	11461	-	1017	unknown function	DNA, RNA and nucleotide metabolism	9.6604	0.7511	EU418428.2
EU418428.2_38	11473	11872	-	3857	unknown function	DNA, RNA and nucleotide metabolism	4.7750	0.2173	EU418428.2
EU418428.2_39	11868	12576	-	246	other	NA	NA	NA	EU418428.2
EU418428.2_40	12675	13230	-	2981	unknown function	DNA, RNA and nucleotide metabolism	1.6698	0.1828	EU418428.2
EU418428.2_41	13245	13563	-	4178	tail	NA	NA	NA	EU418428.2
EU418428.2_42	13631	13745	+	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.1877	0.1589	EU418428.2
EU418428.2_43	13753	13930	+	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.6451	0.1636	EU418428.2
EU418428.2_44	13926	14055	-	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.6213	0.1522	EU418428.2
EU418428.2_45	14132	14333	-	27748	unknown function	DNA, RNA and nucleotide metabolism	1.3077	0.1892	EU418428.2
EU418428.2_46	14332	14434	-	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	2.5015	0.1519	EU418428.2
EU418428.2_47	14548	15097	-	2948	unknown function	moron, auxiliary metabolic gene and host takeover	8.0454	0.3385	EU418428.2
