Phage,Accession,LYSIS__Endolysin_product,LYSIS__Endolysin_length_aa,LYSIS__Endolysin_architecture,LYSIS__Endolysin_InterPro_domain,LYSIS__Endolysin_InterPro_verdict,LYSIS__Holin_present,HOSTREC__RBP_present,HOSTREC__RBP_genes_n,HOSTREC__RBP_assessed_InterPro_n,HOSTREC__RBP_with_domain_n,HOSTREC__RBP_InterPro_verdict
Staphylococcus phage A5W,EU418428.2,endolysin,209,free-endolysin,"consensus disorder prediction, Bacterial SH3 domain, IPR003646, SH3-like domain, bacterial-type, sh3_bac_9, IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, N-acetylmuramoyl-L-alanine amidase-like, N-acetylmuramoyl-L-alanine amidase, SH3 Domains",confirmed-endolysin,Yes,Yes,3,3,2,no_domain; uncertain
Staphylococcus phage qdsa002,KY779849.1,endolysin,495,free-endolysin,"IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, ami_2, IPR002502, N-acetylmuramoyl-L-alanine amidase domain, CHAP domain, IPR007921, N-acetylmuramoyl-L-alanine amidase, sh3_bac_9, IPR003646, SH3-like domain, bacterial-type, SH3 Domains, CHAP domain profile., Bacterial SH3 domain, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, PGRP, endopeptidase domain like (from Nostoc punctiforme), consensus disorder prediction, N-acetylmuramoyl-L-alanine amidase-like",confirmed-endolysin,Yes,Yes,3,3,2,no_domain; uncertain
Staphylococcus phage vB_SauM-fRuSau02,MF398190.1,endolysin,209,intron-split,—,no domain returned,Yes,Yes,3,3,1,no_domain; uncertain
Staphylococcus phage VB_SavM_JYL01,MH159197.1,endolysin,495,free-endolysin,—,no domain returned,Yes,Yes,3,3,2,no_domain; uncertain
Staphylococcus phage Maine,MN045228.1,—,—,—,—,—,Yes,Yes,3,3,1,no_domain; uncertain
Staphylococcus phage vB_SauM-515A1,MN047438.1,endolysin,209,intron-split,—,no domain returned,Yes,Yes,3,3,1,no_domain; uncertain
Staphylococcus phage vB_SauP-436A1,MN150710.1,endolysin,250,free-endolysin,"endopeptidase domain like (from Nostoc punctiforme), CHAP domain, IPR007921, Bacterial SH3 domain, IPR003646, SH3-like domain, bacterial-type, CHAP domain profile., Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, SH3 Domains",confirmed-endolysin,Yes,No,0,0,0,no domain returned
Staphylococcus phage Sb1_8383,MN336261.1,endolysin,209,free-endolysin,—,no domain returned,Yes,Yes,3,3,0,no_domain
Staphylococcus phage Sb1M_6168,MN336262.1,—,—,—,—,—,Yes,Yes,3,3,0,no_domain
Staphylococcus phage Sb1M_9832,MN336263.1,—,—,—,—,—,Yes,Yes,3,3,0,no_domain
Staphylococcus phage Portland,MT926124.1,endolysin,249,free-endolysin,"endopeptidase domain like (from Nostoc punctiforme), Bacterial SH3 domain, IPR003646, SH3-like domain, bacterial-type, SH3 Domains, CHAP domain profile., IPR007921, CHAP domain, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily",confirmed-endolysin,Yes,No,0,0,0,no domain returned
Staphylococcus phage Twort,NC_007021.1,tail associated lysin,1269,vaph,"consensus disorder prediction, Coil, Phage tail lysozyme, IPR041219",confirmed-endolysin,Yes,Yes,3,3,2,no_domain; uncertain
Staphylococcus phage EW,NC_007056.1,endolysin,482,divergent-endolysin,"CHAP domain profile., IPR007921, CHAP domain, Amidase, SH3b domain profile., IPR003646, SH3-like domain, bacterial-type, PGRP, IPR002502, N-acetylmuramoyl-L-alanine amidase domain, endopeptidase domain like (from Nostoc punctiforme), ami_2, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, N-acetylmuramoyl-L-alanine amidase, Bacterial SH3 domain, sh3_bac_9, IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, N-acetylmuramoyl-L-alanine amidase-like, SH3 Domains",confirmed-endolysin,Yes,Yes,1,1,1,uncertain
Staphylococcus phage JD007,NC_019726.1,—,—,—,—,—,Yes,Yes,3,3,1,no_domain; uncertain
Staphylococcus phage SA13,NC_021863.1,endolysin,481,free-endolysin,"N-acetylmuramoyl-L-alanine amidase, N-acetylmuramoyl-L-alanine amidase-like, IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, ami_2, IPR002502, N-acetylmuramoyl-L-alanine amidase domain, sh3_bac_9, IPR003646, SH3-like domain, bacterial-type, consensus disorder prediction, Amidase, CHAP domain, IPR007921, SH3 Domains, endopeptidase domain like (from Nostoc punctiforme), CHAP domain profile., Bacterial SH3 domain, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, PGRP, SH3b domain profile.",confirmed-endolysin,Yes,Yes,2,2,2,structural_tail; uncertain
Staphylococcus aureus bacteriophage Sb-1,NC_023009.1,endolysin,209,free-endolysin,—,no domain returned,Yes,Yes,3,3,0,no_domain
Staphylococcus phage Staph1N,NC_047722.1,endolysin,209,free-endolysin,—,no domain returned,Yes,Yes,3,3,0,no_domain
Staphylococcus phage A3R,NC_047723.1,endolysin,209,free-endolysin,—,no domain returned,Yes,Yes,3,3,1,no_domain; uncertain
Staphylococcus phage 676Z,NC_047724.1,endolysin,209,free-endolysin,"IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, SH3 Domains, N-acetylmuramoyl-L-alanine amidase-like, Bacterial SH3 domain, IPR003646, SH3-like domain, bacterial-type, sh3_bac_9, consensus disorder prediction",confirmed-endolysin,Yes,Yes,3,3,0,no_domain
Staphylococcus phage Fi200W,NC_047725.1,endolysin,209,free-endolysin,—,no domain returned,Yes,Yes,3,3,0,no_domain
Staphylococcus phage MSA6,NC_047726.1,endolysin,209,free-endolysin,—,no domain returned,Yes,Yes,3,3,0,no_domain
Staphylococcus phage P4W,NC_047727.1,endolysin,209,free-endolysin,—,no domain returned,Yes,Yes,3,3,0,no_domain
