Phage,Accession,Class,Family,SubFamily,Genome_Size_bp,GC_Percent,CDS_Count,tRNA_Count,NCBI_Status,qc_status,qc_flags,annotation_present,duplicate_group,is_representative,taxonomy_flag,seq_md5,source_file
Staphylococcus phage A5W,EU418428.2,Caudoviricetes,Herelleviridae,Twortvirinae,145542,30.42,232,4,Complete Genome,PASS,,True,,True,,6f1c9464a15d2f9559cb1ff100837d9f,GenBank\Aureus_Pharokka\EU418428_Aureus_phage_A5W.gb
Staphylococcus phage qdsa002,KY779849.1,Caudoviricetes,Herelleviridae,Twortvirinae,142499,30.26,231,0,Complete Genome,PASS,,True,,True,,2ecb1081575ba8d20486853f3092b92c,GenBank\Aureus_Pharokka\KY779849_Aureus_phage_qdsa002.gb
Staphylococcus phage vB_SauM-fRuSau02,MF398190.1,Caudoviricetes,Herelleviridae,Twortvirinae,148464,30.22,236,4,Complete Genome,PASS,,True,,True,,0b4e6604f96406c5ffc92d9263e63df6,GenBank\Aureus_Pharokka\MF398190_Aureus_phage_vB_SauM-fRuSau02.gb
Staphylococcus phage VB_SavM_JYL01,MH159197.1,Caudoviricetes,Herelleviridae,Twortvirinae,141384,30.17,219,0,Complete Genome,PASS,,True,,True,,9c6bbd70c1a5bff7ca75c0e94a061d82,GenBank\Aureus_Pharokka\MH159197_Aureus_phage_VB_SavM_JYL01.gb
Staphylococcus phage Maine,MN045228.1,Caudoviricetes,Herelleviridae,Twortvirinae,141712,30.41,219,4,Complete Genome,PASS,,True,,True,,46922af9cc717b671d57401758e0ae2d,GenBank\Aureus_Pharokka\MN045228_Aureus_phage_Maine.gb
Staphylococcus phage vB_SauM-515A1,MN047438.1,Caudoviricetes,Herelleviridae,Twortvirinae,148511,30.24,236,4,Draft/Partial,PASS,,True,,True,,c85cf65dfb3b34844b8fc2c7c0298972,GenBank\Aureus_Pharokka\MN047438_Aureus_phage_vB_SauM-515A1.gb
Staphylococcus phage vB_SauP-436A1,MN150710.1,Caudoviricetes,Rountreeviridae,Rakietenvirinae,18028,29.34,21,0,Complete Genome,PASS,,True,,True,,d93430debb1eab13a7de5993b397a9c6,GenBank\Aureus_Pharokka\MN150710_Aureus_phage_vB_SauP-436A1.gb
Staphylococcus phage Sb1_8383,MN336261.1,Caudoviricetes,Herelleviridae,Twortvirinae,139606,30.4,167,0,Complete Genome,PASS,,True,,True,,ab2e1aedefe13310971791b3ee194bd8,GenBank\Aureus_Pharokka\MN336261_Aureus_phage_Sb1_8383.gb
Staphylococcus phage Sb1M_6168,MN336262.1,Caudoviricetes,Herelleviridae,Twortvirinae,138231,30.43,165,0,Complete Genome,PASS,,True,,True,,8c2f90b857b87434ca796c621de4da22,GenBank\Aureus_Pharokka\MN336262_Aureus_phage_Sb1M_6168.gb
Staphylococcus phage Sb1M_9832,MN336263.1,Caudoviricetes,Herelleviridae,Twortvirinae,138231,30.43,164,0,Complete Genome,PASS,,True,,True,,c4c713061540bce2fa0e338a7c21a6cb,GenBank\Aureus_Pharokka\MN336263_Aureus_phage_Sb1M_9832.gb
Staphylococcus phage Portland,MT926124.1,Caudoviricetes,Rountreeviridae,Rakietenvirinae,17471,29.57,20,0,Complete Genome,PASS,,True,,True,,28f3a5296bf5b2d23502f0f591012f44,GenBank\Aureus_Pharokka\MT926124_Aureus_phage_Portland.gb
Staphylococcus phage Twort,NC_007021.1,Caudoviricetes,Herelleviridae,Twortvirinae,130706,30.26,195,0,Complete Genome,PASS,,True,,True,,985549f557ef7f6d9f05b40146aaa061,GenBank\Aureus_Pharokka\NC_007021_Aureus_phage_Twort.gb
Staphylococcus phage EW,NC_007056.1,Caudoviricetes,Unassigned,Azeredovirinae,45286,35.99,77,0,Complete Genome,PASS,,True,,True,family_unresolved_verify_ICTV,97b48f859ad08fdd6260c2215fe6e773,GenBank\Aureus_Pharokka\NC_007056_Aureus_phage_EW.gb
Staphylococcus phage JD007,NC_019726.1,Caudoviricetes,Herelleviridae,Twortvirinae,141836,30.37,217,0,Complete Genome,PASS,,True,,True,,77d8dc7803b06a1d3828fa98d54005e5,GenBank\Aureus_Pharokka\NC_019726_Aureus_phage_JD007.gb
Staphylococcus phage SA13,NC_021863.1,Caudoviricetes,Unassigned,Azeredovirinae,42652,35.42,62,0,Complete Genome,PASS,,True,,True,family_unresolved_verify_ICTV,bc4b2b84b552df7dc0773838bc397b96,GenBank\Aureus_Pharokka\NC_021863_Aureus_phage_SA13.gb
Staphylococcus aureus bacteriophage Sb-1,NC_023009.1,Caudoviricetes,Herelleviridae,Twortvirinae,127188,30.48,168,4,Complete Genome,PASS,,True,,True,,73deb1acfd0b9fa719cae4a27753ab45,GenBank\Aureus_Pharokka\NC_023009_Aureus_phage_Sb-1.gb
Staphylococcus phage Staph1N,NC_047722.1,Caudoviricetes,Herelleviridae,Twortvirinae,145647,30.41,232,0,Complete Genome,PASS,,True,,True,,d76ea67eaea8b5fe4070f12cde23e791,GenBank\Aureus_Pharokka\NC_047722_Aureus_phage_Staph1N.gb
Staphylococcus phage A3R,NC_047723.1,Caudoviricetes,Herelleviridae,Twortvirinae,141018,30.5,212,0,Complete Genome,PASS,,True,,True,,84a9e147d107e236fc1129f3dbeed5bf,GenBank\Aureus_Pharokka\NC_047723_Aureus_phage_A3R.gb
Staphylococcus phage 676Z,NC_047724.1,Caudoviricetes,Herelleviridae,Twortvirinae,148564,30.41,233,0,Complete Genome,PASS,,True,,True,,532b7cf4f3b3d1da1ccf629f47cbae3d,GenBank\Aureus_Pharokka\NC_047724_Aureus_phage_676Z.gb
Staphylococcus phage Fi200W,NC_047725.1,Caudoviricetes,Herelleviridae,Twortvirinae,148481,30.39,233,0,Complete Genome,PASS,,True,,True,,6695566f6f4566a7306a0f40353a03fd,GenBank\Aureus_Pharokka\NC_047725_Aureus_phage_Fi200W.gb
Staphylococcus phage MSA6,NC_047726.1,Caudoviricetes,Herelleviridae,Twortvirinae,148243,30.24,232,0,Complete Genome,PASS,,True,,True,,ca5a1eabb9152d8c8e3eef3030cbde31,GenBank\Aureus_Pharokka\NC_047726_Aureus_phage_MSA6.gb
Staphylococcus phage P4W,NC_047727.1,Caudoviricetes,Herelleviridae,Twortvirinae,147590,30.39,232,0,Complete Genome,PASS,,True,,True,,764151909d90a37e4f11c48b0d4b9bc6,GenBank\Aureus_Pharokka\NC_047727_Aureus_phage_P4W.gb
