INRAUUWJ_CDS_0158|KY779849.1|KY779849.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	340376f4f5ec7d17e9efb3821109cf5a	123	Pfam	PF11192	Protein of unknown function (DUF2977)	18	77	0.0038	T	13-08-2026	IPR021358	Protein of unknown function DUF2977	-	-
INRAUUWJ_CDS_0158|KY779849.1|KY779849.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	340376f4f5ec7d17e9efb3821109cf5a	123	Coils	Coil	Coil	91	118	-	T	13-08-2026	-	-	-	-
WHFMPVLH_CDS_0148|MN047438.1|MN047438.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	5ff327ae1958c0a0455d14ad334d633a	458	Pfam	PF23624	ORF68-like, C-terminal domain	337	458	1.5E-51	T	13-08-2026	IPR057110	ORF68, C-terminal	-	-
NMAZJLMB_CDS_0021|NC_007056.1|NC_007056.1|subtype=tail_spike|conf=confirmed|src=product_qualifier|tail	2005609b572ed8fc9d752b465273f0fb	576	PANTHER	PTHR40446	N-ACETYLGLUCOSAMINE-1-PHOSPHODIESTER ALPHA-N-ACETYLGLUCOSAMINIDASE	175	388	1.4E-15	T	13-08-2026	-	-	-	-
NMAZJLMB_CDS_0021|NC_007056.1|NC_007056.1|subtype=tail_spike|conf=confirmed|src=product_qualifier|tail	2005609b572ed8fc9d752b465273f0fb	576	Pfam	PF09992	Phosphodiester glycosidase	212	386	6.1E-18	T	13-08-2026	IPR018711	Phosphodiester glycosidase	-	-
UIHIEIPY_CDS_0145|MN045228.1|MN045228.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	52f52557b01760bcc2d825df10dd78f5	458	Pfam	PF23624	ORF68-like, C-terminal domain	337	458	1.6E-52	T	13-08-2026	IPR057110	ORF68, C-terminal	-	-
EFHHZKLU_CDS_0044|NC_007021.1|NC_007021.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	b74f9b110b6776b6383a9da703af3e7b	121	MobiDBLite	mobidb-lite	consensus disorder prediction	69	97	-	T	13-08-2026	-	-	-	-
EFHHZKLU_CDS_0044|NC_007021.1|NC_007021.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	b74f9b110b6776b6383a9da703af3e7b	121	Pfam	PF11192	Protein of unknown function (DUF2977)	1	77	1.5E-22	T	13-08-2026	IPR021358	Protein of unknown function DUF2977	-	-
INRAUUWJ_CDS_0159|KY779849.1|KY779849.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	59d2052c2fd1c9b04a6ff9c4bbd7f9ed	458	Pfam	PF23624	ORF68-like, C-terminal domain	337	458	1.6E-52	T	13-08-2026	IPR057110	ORF68, C-terminal	-	-
GBLODFKD_CDS_0075|MH159197.1|MH159197.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	d0143f681fe185bc424b1e6e2f62719f	124	Coils	Coil	Coil	92	119	-	T	13-08-2026	-	-	-	-
GBLODFKD_CDS_0075|MH159197.1|MH159197.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	d0143f681fe185bc424b1e6e2f62719f	124	Pfam	PF11192	Protein of unknown function (DUF2977)	17	77	0.22	T	13-08-2026	IPR021358	Protein of unknown function DUF2977	-	-
GBLODFKD_CDS_0075|MH159197.1|MH159197.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	d0143f681fe185bc424b1e6e2f62719f	124	MobiDBLite	mobidb-lite	consensus disorder prediction	73	98	-	T	13-08-2026	-	-	-	-
NMAZJLMB_CDS_0023|NC_007056.1|NC_007056.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	97d7f4d000ec4d36fc62f40289c5fd6c	110	Pfam	PF27183	YomQ N-terminal domain	1	60	2.7E-9	T	13-08-2026	IPR059834	YomQ, N-terminal domain	-	-
LIHWRNPS_CDS_0147|EU418428.2|EU418428.2|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	897855a16278c14f2b3ac6b6756c77c8	124	Pfam	PF11192	Protein of unknown function (DUF2977)	18	77	0.0039	T	13-08-2026	IPR021358	Protein of unknown function DUF2977	-	-
LIHWRNPS_CDS_0147|EU418428.2|EU418428.2|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	897855a16278c14f2b3ac6b6756c77c8	124	Coils	Coil	Coil	92	119	-	T	13-08-2026	-	-	-	-
LIHWRNPS_CDS_0148|EU418428.2|EU418428.2|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	7bdd73e54115cce2255dec186c8d7234	458	Pfam	PF23624	ORF68-like, C-terminal domain	337	458	7.8E-52	T	13-08-2026	IPR057110	ORF68, C-terminal	-	-
