Description	Count	Contig
CDS	247	NC_019726.1
connector	1	NC_019726.1
DNA, RNA and nucleotide metabolism	32	NC_019726.1
head and packaging	22	NC_019726.1
integration and excision	0	NC_019726.1
lysis	3	NC_019726.1
moron, auxiliary metabolic gene and host takeover	14	NC_019726.1
other	19	NC_019726.1
tail	14	NC_019726.1
transcription regulation	4	NC_019726.1
unknown function	138	NC_019726.1
VFDB_Virulence_Factors	0	NC_019726.1
CARD_AMR	0	NC_019726.1
ACR_anti_crispr	0	NC_019726.1
Defensefinder	0	NC_019726.1
Netflax	0	NC_019726.1
