Phage,Accession,Protein_ID,Product,Length_aa,Classification,Inferred_Domain,InterPro_Domain,InterPro_Verdict,tBLASTn_Identity_pct,Evidence
Staphylococcus phage A5W,EU418428.2,CDS_0087,endolysin,209,free-endolysin,LysK-type (unspecified),"consensus disorder prediction, Bacterial SH3 domain, IPR003646, SH3-like domain, bacterial-type, sh3_bac_9, IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, N-acetylmuramoyl-L-alanine amidase-like, N-acetylmuramoyl-L-alanine amidase, SH3 Domains",confirmed-endolysin,,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 8 candidate(s))
Staphylococcus phage qdsa002,KY779849.1,CDS_0098,endolysin,495,free-endolysin,LysK-type (unspecified),"IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, ami_2, IPR002502, N-acetylmuramoyl-L-alanine amidase domain, CHAP domain, IPR007921, N-acetylmuramoyl-L-alanine amidase, sh3_bac_9, IPR003646, SH3-like domain, bacterial-type, SH3 Domains, CHAP domain profile., Bacterial SH3 domain, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, PGRP, endopeptidase domain like (from Nostoc punctiforme), consensus disorder prediction, N-acetylmuramoyl-L-alanine amidase-like",confirmed-endolysin,,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 6 candidate(s))
Staphylococcus phage vB_SauM-fRuSau02,MF398190.1,CDS_0088,endolysin,209,intron-split,LysK-type (unspecified),,,,matched 'LysK-type (unspecified)'; validated status 'intron-split' (curation registry)
Staphylococcus phage VB_SavM_JYL01,MH159197.1,CDS_0016,endolysin,495,free-endolysin,LysK-type (unspecified),,,,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 6 candidate(s))
Staphylococcus phage vB_SauM-515A1,MN047438.1,CDS_0086,endolysin,209,intron-split,LysK-type (unspecified),,,,matched 'LysK-type (unspecified)'; validated status 'intron-split' (curation registry)
Staphylococcus phage vB_SauP-436A1,MN150710.1,CDS_0015,endolysin,250,free-endolysin,LysK-type (unspecified),"endopeptidase domain like (from Nostoc punctiforme), CHAP domain, IPR007921, Bacterial SH3 domain, IPR003646, SH3-like domain, bacterial-type, CHAP domain profile., Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, SH3 Domains",confirmed-endolysin,,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 1 candidate(s))
Staphylococcus phage Sb1_8383,MN336261.1,CDS_0062,endolysin,209,free-endolysin,LysK-type (unspecified),,,,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 8 candidate(s))
Staphylococcus phage Portland,MT926124.1,CDS_0015,endolysin,249,free-endolysin,LysK-type (unspecified),"endopeptidase domain like (from Nostoc punctiforme), Bacterial SH3 domain, IPR003646, SH3-like domain, bacterial-type, SH3 Domains, CHAP domain profile., IPR007921, CHAP domain, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily",confirmed-endolysin,,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 1 candidate(s))
Staphylococcus phage Twort,NC_007021.1,CDS_0030,tail associated lysin,1269,vaph,LysK-type (unspecified),"consensus disorder prediction, Coil, Phage tail lysozyme, IPR041219",confirmed-endolysin,45.0,matched 'LysK-type (unspecified)'; validated status 'vaph' (curation registry)
Staphylococcus phage EW,NC_007056.1,CDS_0028,endolysin,482,divergent-endolysin,LysK-type (unspecified),"CHAP domain profile., IPR007921, CHAP domain, Amidase, SH3b domain profile., IPR003646, SH3-like domain, bacterial-type, PGRP, IPR002502, N-acetylmuramoyl-L-alanine amidase domain, endopeptidase domain like (from Nostoc punctiforme), ami_2, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, N-acetylmuramoyl-L-alanine amidase, Bacterial SH3 domain, sh3_bac_9, IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, N-acetylmuramoyl-L-alanine amidase-like, SH3 Domains",confirmed-endolysin,,matched 'LysK-type (unspecified)'; validated status 'divergent-endolysin' (curation registry)
