Phage,Accession,CDS_total,Phold_unknown_function,Entering_Phynteny,Assigned_by_Phynteny,Assigned_to_tail,Median_confidence,Confidence_ge_0.8
676Z,NC_047724.1,274,155,152.0,152.0,0.0,0.221,3.0
A3R,NC_047723.1,252,143,140.0,140.0,0.0,0.227,3.0
A5W,EU418428.2,270,154,151.0,151.0,0.0,0.217,3.0
EW,NC_007056.1,82,32,32.0,32.0,0.0,0.266,0.0
Fi200W,NC_047725.1,268,151,146.0,146.0,0.0,0.219,5.0
JD007,NC_019726.1,247,138,136.0,136.0,0.0,0.223,3.0
MSA6,NC_047726.1,271,153,150.0,150.0,0.0,0.225,3.0
Maine,MN045228.1,245,138,134.0,134.0,0.0,0.248,5.0
P4W,NC_047727.1,269,150,147.0,147.0,0.0,0.219,4.0
Portland,MT926124.1,22,10,10.0,10.0,0.0,0.195,0.0
SA13,NC_021863.1,74,25,24.0,24.0,1.0,0.351,0.0
Sb-1,NC_023009.1,215,114,111.0,111.0,0.0,0.262,6.0
Sb1M_6168,MN336262.1,244,133,130.0,130.0,0.0,0.244,3.0
Sb1M_9832,MN336263.1,244,133,130.0,130.0,0.0,0.244,3.0
Sb1_8383,MN336261.1,251,140,137.0,137.0,0.0,0.24,4.0
Staph1N,NC_047722.1,270,154,151.0,151.0,0.0,0.216,3.0
Twort,NC_007021.1,214,119,117.0,117.0,0.0,0.247,8.0
VB_SavM_JYL01,MH159197.1,248,141,137.0,137.0,0.0,0.25,3.0
qdsa002,KY779849.1,256,148,145.0,145.0,0.0,0.236,2.0
vB_SauM-515A1,MN047438.1,276,158,155.0,155.0,0.0,0.224,2.0
vB_SauM-fRuSau02,MF398190.1,275,157,154.0,154.0,0.0,0.224,2.0
vB_SauP-436A1,MN150710.1,22,10,10.0,10.0,0.0,0.204,0.0
