Phage,Accession,Holin_Present,Holin_Evidence,Tail_Fiber_RBP_Present,RBP_Evidence,RBP_Count,annotation_qc,Annotation_Note
EU418428.2,EU418428.2,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
KY779849.1,KY779849.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
MF398190.1,MF398190.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
MH159197.1,MH159197.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
MN045228.1,MN045228.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
MN047438.1,MN047438.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
MN150710.1,MN150710.1,Yes,[holin] holin,No,—,0,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
MN336261.1,MN336261.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
"MN336262.1 Staphylococcus phage Sb1M_6168, complete genome",MN336262.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
"MN336263.1 Staphylococcus phage Sb1M_9832, complete genome",MN336263.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
MT926124.1,MT926124.1,Yes,[holin] holin,No,—,0,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_007021.1,NC_007021.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_007056.1,NC_007056.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,1,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_019726.1,NC_019726.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_021863.1,NC_021863.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,2,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_023009.1,NC_023009.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_047722.1,NC_047722.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_047723.1,NC_047723.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_047724.1,NC_047724.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_047725.1,NC_047725.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_047726.1,NC_047726.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_047727.1,NC_047727.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
