,EU418428.2|ACB89049.2,MF398190.1|AST15590.1,MN336261.1|QIG56434.1,NC_047727.1|YP_009781687.1,KY779849.1|ARQ96041.1,NC_047724.1|YP_009780991.1,MN150710.1|QEA03128.1,MT926124.1|QOI69190.1,NC_007056.1|YP_240182.1,NC_021863.1|YP_008320261.1
EU418428.2|ACB89049.2,100.0,100.0,100.0,100.0,99.06,95.28,47.12,46.6,46.67,48.57
MF398190.1|AST15590.1,100.0,100.0,100.0,100.0,99.06,95.28,47.12,46.6,46.67,48.57
MN336261.1|QIG56434.1,100.0,100.0,100.0,100.0,99.06,95.28,47.12,46.6,46.67,48.57
NC_047727.1|YP_009781687.1,100.0,100.0,100.0,100.0,99.06,95.28,47.12,46.6,46.67,48.57
KY779849.1|ARQ96041.1,99.06,99.06,99.06,99.06,100.0,94.34,47.12,46.6,47.62,47.62
NC_047724.1|YP_009780991.1,95.28,95.28,95.28,95.28,94.34,100.0,46.15,45.63,45.71,47.62
MN150710.1|QEA03128.1,47.12,47.12,47.12,47.12,47.12,46.15,100.0,84.62,50.48,50.48
MT926124.1|QOI69190.1,46.6,46.6,46.6,46.6,46.6,45.63,84.62,100.0,53.85,52.88
NC_007056.1|YP_240182.1,46.67,46.67,46.67,46.67,47.62,45.71,50.48,53.85,100.0,81.13
NC_021863.1|YP_008320261.1,48.57,48.57,48.57,48.57,47.62,47.62,50.48,52.88,81.13,100.0
