Species 1,Species 2,Dist
EU418428.2 A5W,MF398190.1 vB SauM fRuSau02,0
EU418428.2 A5W,MN047438.1 vB SauM 515A1,0
MF398190.1 vB SauM fRuSau02,MN047438.1 vB SauM 515A1,0
EU418428.2 A5W,MN336261.1 Sb1 8383,0
MF398190.1 vB SauM fRuSau02,MN336261.1 Sb1 8383,0
MN047438.1 vB SauM 515A1,MN336261.1 Sb1 8383,0
EU418428.2 A5W,MN336262.1 Sb1M 6168,0
MF398190.1 vB SauM fRuSau02,MN336262.1 Sb1M 6168,0
MN047438.1 vB SauM 515A1,MN336262.1 Sb1M 6168,0
MN336261.1 Sb1 8383,MN336262.1 Sb1M 6168,0
EU418428.2 A5W,MN336263.1 Sb1M 9832,0
MF398190.1 vB SauM fRuSau02,MN336263.1 Sb1M 9832,0
MN047438.1 vB SauM 515A1,MN336263.1 Sb1M 9832,0
MN336261.1 Sb1 8383,MN336263.1 Sb1M 9832,0
MN336262.1 Sb1M 6168,MN336263.1 Sb1M 9832,0
EU418428.2 A5W,NC 019726.1 JD007,0
MF398190.1 vB SauM fRuSau02,NC 019726.1 JD007,0
MN047438.1 vB SauM 515A1,NC 019726.1 JD007,0
MN336261.1 Sb1 8383,NC 019726.1 JD007,0
MN336262.1 Sb1M 6168,NC 019726.1 JD007,0
MN336263.1 Sb1M 9832,NC 019726.1 JD007,0
EU418428.2 A5W,NC 023009.1 aureus bacteriophage Sb 1,0
MF398190.1 vB SauM fRuSau02,NC 023009.1 aureus bacteriophage Sb 1,0
MN047438.1 vB SauM 515A1,NC 023009.1 aureus bacteriophage Sb 1,0
MN336261.1 Sb1 8383,NC 023009.1 aureus bacteriophage Sb 1,0
MN336262.1 Sb1M 6168,NC 023009.1 aureus bacteriophage Sb 1,0
MN336263.1 Sb1M 9832,NC 023009.1 aureus bacteriophage Sb 1,0
NC 019726.1 JD007,NC 023009.1 aureus bacteriophage Sb 1,0
EU418428.2 A5W,NC 047722.1 Staph1N,0
MF398190.1 vB SauM fRuSau02,NC 047722.1 Staph1N,0
MN047438.1 vB SauM 515A1,NC 047722.1 Staph1N,0
MN336261.1 Sb1 8383,NC 047722.1 Staph1N,0
MN336262.1 Sb1M 6168,NC 047722.1 Staph1N,0
MN336263.1 Sb1M 9832,NC 047722.1 Staph1N,0
NC 019726.1 JD007,NC 047722.1 Staph1N,0
NC 023009.1 aureus bacteriophage Sb 1,NC 047722.1 Staph1N,0
EU418428.2 A5W,NC 047723.1 A3R,0
MF398190.1 vB SauM fRuSau02,NC 047723.1 A3R,0
MN047438.1 vB SauM 515A1,NC 047723.1 A3R,0
MN336261.1 Sb1 8383,NC 047723.1 A3R,0
MN336262.1 Sb1M 6168,NC 047723.1 A3R,0
MN336263.1 Sb1M 9832,NC 047723.1 A3R,0
NC 019726.1 JD007,NC 047723.1 A3R,0
NC 023009.1 aureus bacteriophage Sb 1,NC 047723.1 A3R,0
NC 047722.1 Staph1N,NC 047723.1 A3R,0
EU418428.2 A5W,NC 047724.1 676Z,0
MF398190.1 vB SauM fRuSau02,NC 047724.1 676Z,0
MN047438.1 vB SauM 515A1,NC 047724.1 676Z,0
MN336261.1 Sb1 8383,NC 047724.1 676Z,0
MN336262.1 Sb1M 6168,NC 047724.1 676Z,0
MN336263.1 Sb1M 9832,NC 047724.1 676Z,0
NC 019726.1 JD007,NC 047724.1 676Z,0
NC 023009.1 aureus bacteriophage Sb 1,NC 047724.1 676Z,0
NC 047722.1 Staph1N,NC 047724.1 676Z,0
NC 047723.1 A3R,NC 047724.1 676Z,0
EU418428.2 A5W,NC 047725.1 Fi200W,0
MF398190.1 vB SauM fRuSau02,NC 047725.1 Fi200W,0
MN047438.1 vB SauM 515A1,NC 047725.1 Fi200W,0
MN336261.1 Sb1 8383,NC 047725.1 Fi200W,0
MN336262.1 Sb1M 6168,NC 047725.1 Fi200W,0
MN336263.1 Sb1M 9832,NC 047725.1 Fi200W,0
NC 019726.1 JD007,NC 047725.1 Fi200W,0
NC 023009.1 aureus bacteriophage Sb 1,NC 047725.1 Fi200W,0
NC 047722.1 Staph1N,NC 047725.1 Fi200W,0
NC 047723.1 A3R,NC 047725.1 Fi200W,0
NC 047724.1 676Z,NC 047725.1 Fi200W,0
EU418428.2 A5W,NC 047727.1 P4W,0
MF398190.1 vB SauM fRuSau02,NC 047727.1 P4W,0
MN047438.1 vB SauM 515A1,NC 047727.1 P4W,0
MN336261.1 Sb1 8383,NC 047727.1 P4W,0
MN336262.1 Sb1M 6168,NC 047727.1 P4W,0
MN336263.1 Sb1M 9832,NC 047727.1 P4W,0
NC 019726.1 JD007,NC 047727.1 P4W,0
NC 023009.1 aureus bacteriophage Sb 1,NC 047727.1 P4W,0
NC 047722.1 Staph1N,NC 047727.1 P4W,0
NC 047723.1 A3R,NC 047727.1 P4W,0
NC 047724.1 676Z,NC 047727.1 P4W,0
NC 047725.1 Fi200W,NC 047727.1 P4W,0
EU418428.2 A5W,KY779849.1 qdsa002,0.001921789
MF398190.1 vB SauM fRuSau02,KY779849.1 qdsa002,0.001921789
MN047438.1 vB SauM 515A1,KY779849.1 qdsa002,0.001921789
MN336261.1 Sb1 8383,KY779849.1 qdsa002,0.001921789
MN336262.1 Sb1M 6168,KY779849.1 qdsa002,0.001921789
MN336263.1 Sb1M 9832,KY779849.1 qdsa002,0.001921789
NC 019726.1 JD007,KY779849.1 qdsa002,0.001921789
NC 023009.1 aureus bacteriophage Sb 1,KY779849.1 qdsa002,0.001921789
NC 047722.1 Staph1N,KY779849.1 qdsa002,0.001921789
NC 047723.1 A3R,KY779849.1 qdsa002,0.001921789
NC 047724.1 676Z,KY779849.1 qdsa002,0.001921789
NC 047725.1 Fi200W,KY779849.1 qdsa002,0.001921789
NC 047727.1 P4W,KY779849.1 qdsa002,0.001921789
EU418428.2 A5W,MH159197.1 VB SavM JYL01,0.001921789
MF398190.1 vB SauM fRuSau02,MH159197.1 VB SavM JYL01,0.001921789
MN047438.1 vB SauM 515A1,MH159197.1 VB SavM JYL01,0.001921789
MN336261.1 Sb1 8383,MH159197.1 VB SavM JYL01,0.001921789
