Phage,Accession,Protein_ID,Product,Length_aa,Inferred_Domain,InterPro_Domain,InterPro_Verdict,Classification,Selected,tBLASTn_Identity_pct,tBLASTn_Note,Runtime_Flag,shared_by,Evidence
EU418428.2,EU418428.2,CDS_0087,endolysin,209,LysK-type (unspecified),"consensus disorder prediction, Bacterial SH3 domain, IPR003646, SH3-like domain, bacterial-type, sh3_bac_9, IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, N-acetylmuramoyl-L-alanine amidase-like, N-acetylmuramoyl-L-alanine amidase, SH3 Domains",confirmed-endolysin,free-endolysin,Yes,,,,MF398190.1;MN047438.1;MN336261.1;NC_023009.1;NC_047722.1;NC_047723.1;NC_047725.1;NC_047726.1;NC_047727.1,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 8 candidate(s))
EU418428.2,EU418428.2,CDS_0091,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,,,
EU418428.2,EU418428.2,CDS_0104,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
EU418428.2,EU418428.2,CDS_0134,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
EU418428.2,EU418428.2,CDS_0136,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,,,
EU418428.2,EU418428.2,CDS_0137,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
EU418428.2,EU418428.2,CDS_0138,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
EU418428.2,EU418428.2,CDS_0237,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,,,
KY779849.1,KY779849.1,CDS_0098,endolysin,495,LysK-type (unspecified),"IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, ami_2, IPR002502, N-acetylmuramoyl-L-alanine amidase domain, CHAP domain, IPR007921, N-acetylmuramoyl-L-alanine amidase, sh3_bac_9, IPR003646, SH3-like domain, bacterial-type, SH3 Domains, CHAP domain profile., Bacterial SH3 domain, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, PGRP, endopeptidase domain like (from Nostoc punctiforme), consensus disorder prediction, N-acetylmuramoyl-L-alanine amidase-like",confirmed-endolysin,free-endolysin,Yes,,,,MH159197.1,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 6 candidate(s))
KY779849.1,KY779849.1,CDS_0113,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
KY779849.1,KY779849.1,CDS_0145,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
KY779849.1,KY779849.1,CDS_0147,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,,,
KY779849.1,KY779849.1,CDS_0148,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
KY779849.1,KY779849.1,CDS_0149,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
MF398190.1,MF398190.1,CDS_0088,endolysin,209,LysK-type (unspecified),,,intron-split,Yes,,lysK.1 N-terminal amidase moiety (~209 aa); same architecture as MN047438.,intron-split,EU418428.2;MN047438.1;MN336261.1;NC_023009.1;NC_047722.1;NC_047723.1;NC_047725.1;NC_047726.1;NC_047727.1,matched 'LysK-type (unspecified)'; validated status 'intron-split' (curation registry)
MF398190.1,MF398190.1,CDS_0092,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,intron-split,,
MF398190.1,MF398190.1,CDS_0104,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,intron-split,,
MF398190.1,MF398190.1,CDS_0136,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,intron-split,,
MF398190.1,MF398190.1,CDS_0138,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,intron-split,,
MF398190.1,MF398190.1,CDS_0139,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,intron-split,,
MF398190.1,MF398190.1,CDS_0140,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,intron-split,,
MF398190.1,MF398190.1,CDS_0240,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,intron-split,,
