Phage,Accession,Class,Family,SubFamily,Genome_Size_bp,GC_Percent,CDS_Count,tRNA_Count,NCBI_Status,qc_status,qc_flags,annotation_present,duplicate_group,is_representative,taxonomy_flag,seq_md5,source_file
EU418428.2 - Phynteny annotated genome,EU418428.2,Caudoviricetes,Unassigned,Unassigned,145542,30.42,270,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,6f1c9464a15d2f9559cb1ff100837d9f,GenBank\Aureus_Phynteny_split\EU418428.2.gbk
KY779849.1 - Phynteny annotated genome,KY779849.1,Caudoviricetes,Unassigned,Unassigned,142499,30.26,256,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,2ecb1081575ba8d20486853f3092b92c,GenBank\Aureus_Phynteny_split\KY779849.1.gbk
MF398190.1 - Phynteny annotated genome,MF398190.1,Caudoviricetes,Unassigned,Unassigned,148464,30.22,275,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,0b4e6604f96406c5ffc92d9263e63df6,GenBank\Aureus_Phynteny_split\MF398190.1.gbk
MH159197.1 - Phynteny annotated genome,MH159197.1,Caudoviricetes,Unassigned,Unassigned,141384,30.17,248,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,9c6bbd70c1a5bff7ca75c0e94a061d82,GenBank\Aureus_Phynteny_split\MH159197.1.gbk
MN045228.1 - Phynteny annotated genome,MN045228.1,Caudoviricetes,Unassigned,Unassigned,141712,30.41,245,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,46922af9cc717b671d57401758e0ae2d,GenBank\Aureus_Phynteny_split\MN045228.1.gbk
MN047438.1 - Phynteny annotated genome,MN047438.1,Caudoviricetes,Unassigned,Unassigned,148511,30.24,276,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,c85cf65dfb3b34844b8fc2c7c0298972,GenBank\Aureus_Phynteny_split\MN047438.1.gbk
MN150710.1 - Phynteny annotated genome,MN150710.1,Caudoviricetes,Unassigned,Unassigned,18028,29.34,22,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,d93430debb1eab13a7de5993b397a9c6,GenBank\Aureus_Phynteny_split\MN150710.1.gbk
MN336261.1 - Phynteny annotated genome,MN336261.1,Caudoviricetes,Unassigned,Unassigned,139606,30.4,251,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,ab2e1aedefe13310971791b3ee194bd8,GenBank\Aureus_Phynteny_split\MN336261.1.gbk
MN336262.1 - Phynteny annotated genome,MN336262.1,Caudoviricetes,Unassigned,Unassigned,138231,30.43,244,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,8c2f90b857b87434ca796c621de4da22,GenBank\Aureus_Phynteny_split\MN336262.1.gbk
MN336263.1 - Phynteny annotated genome,MN336263.1,Caudoviricetes,Unassigned,Unassigned,138231,30.43,244,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,c4c713061540bce2fa0e338a7c21a6cb,GenBank\Aureus_Phynteny_split\MN336263.1.gbk
MT926124.1 - Phynteny annotated genome,MT926124.1,Caudoviricetes,Unassigned,Unassigned,17471,29.57,22,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,28f3a5296bf5b2d23502f0f591012f44,GenBank\Aureus_Phynteny_split\MT926124.1.gbk
NC_007021.1 - Phynteny annotated genome,NC_007021.1,Caudoviricetes,Unassigned,Unassigned,130706,30.26,214,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,985549f557ef7f6d9f05b40146aaa061,GenBank\Aureus_Phynteny_split\NC_007021.1.gbk
