DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Genome size (kb)
COLOR	#4c72b0
WIDTH	180
MARGIN	14
HEIGHT_FACTOR	0.9
DATASET_SCALE	0	50	100	150
DATA
EU418428.2_A5W	145.5
KY779849.1_qdsa002	142.5
MF398190.1_vB_SauM_fRuSau02	148.5
MH159197.1_VB_SavM_JYL01	141.4
MN045228.1_Maine	141.7
MN047438.1_vB_SauM_515A1	148.5
MN336261.1_Sb1_8383	139.6
MN336262.1_Sb1M_6168	138.2
MN336263.1_Sb1M_9832	138.2
NC_007021.1_Twort	130.7
NC_007056.1_EW	45.3
NC_019726.1_JD007	141.8
NC_021863.1_SA13	42.7
NC_023009.1_aureus_bacteriophage_Sb_1	127.2
NC_047722.1_Staph1N	145.6
NC_047723.1_A3R	141.0
NC_047724.1_676Z	148.6
NC_047725.1_Fi200W	148.5
NC_047726.1_MSA6	148.2
NC_047727.1_P4W	147.6
