Phage,Accession,Holin_Present,Holin_Evidence,Tail_Fiber_RBP_Present,RBP_Evidence,RBP_Count,annotation_qc,Annotation_Note
EU418428.2 - Phynteny annotated genome,EU418428.2,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
KY779849.1 - Phynteny annotated genome,KY779849.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
MF398190.1 - Phynteny annotated genome,MF398190.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
MH159197.1 - Phynteny annotated genome,MH159197.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
MN045228.1 - Phynteny annotated genome,MN045228.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
MN047438.1 - Phynteny annotated genome,MN047438.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
MN150710.1 - Phynteny annotated genome,MN150710.1,Yes,[holin] holin,No,—,0,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
MN336261.1 - Phynteny annotated genome,MN336261.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
MN336262.1 - Phynteny annotated genome,MN336262.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
MN336263.1 - Phynteny annotated genome,MN336263.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
MT926124.1 - Phynteny annotated genome,MT926124.1,Yes,[holin] holin,No,—,0,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_007021.1 - Phynteny annotated genome,NC_007021.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_007056.1 - Phynteny annotated genome,NC_007056.1,Yes,[holin] holin,Yes,[tail spike] tail spike protein,2,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_019726.1 - Phynteny annotated genome,NC_019726.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_021863.1 - Phynteny annotated genome,NC_021863.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,2,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_023009.1 - Phynteny annotated genome,NC_023009.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_047722.1 - Phynteny annotated genome,NC_047722.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_047723.1 - Phynteny annotated genome,NC_047723.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_047724.1 - Phynteny annotated genome,NC_047724.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_047725.1 - Phynteny annotated genome,NC_047725.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_047726.1 - Phynteny annotated genome,NC_047726.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
NC_047727.1 - Phynteny annotated genome,NC_047727.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
