Phage,Accession,Genome_Size_bp,tRNA_Index,tRNA_Type,Anticodon_Seq,Cove_Score,Start_bp,End_bp,Strand,Relative_Position_pct,Is_Pseudo,CAT_Ambiguous,Manual_Check,Note
Staphylococcus phage A5W,EU418428.2,145542,1,Asp,GTC,62.8,37577,37650,-,25.8,No,No,,
Staphylococcus phage A5W,EU418428.2,145542,2,Phe,GAA,64.0,37498,37570,-,25.8,No,No,,
Staphylococcus phage A5W,EU418428.2,145542,3,Ile2,CAT,63.1,14198,14269,-,9.8,No,Yes,,
Staphylococcus phage qdsa002,KY779849.1,142499,1,Asp,GTC,65.7,41296,41369,-,29.0,No,No,,
Staphylococcus phage qdsa002,KY779849.1,142499,2,Phe,GAA,64.0,41217,41289,-,28.9,No,No,,
Staphylococcus phage qdsa002,KY779849.1,142499,3,Ile2,CAT,63.1,19488,19559,-,13.7,No,Yes,,
Staphylococcus phage vB_SauM-fRuSau02,MF398190.1,148464,1,Asp,GTC,62.8,38125,38198,-,25.7,No,No,,
Staphylococcus phage vB_SauM-fRuSau02,MF398190.1,148464,2,Phe,GAA,64.0,38046,38118,-,25.6,No,No,,
Staphylococcus phage vB_SauM-fRuSau02,MF398190.1,148464,3,Ile2,CAT,63.1,14750,14821,-,9.9,No,Yes,,
Staphylococcus phage VB_SavM_JYL01,MH159197.1,141384,1,Ile2,CAT,65.1,130361,130432,-,92.2,No,Yes,,
Staphylococcus phage VB_SavM_JYL01,MH159197.1,141384,2,Asp,GTC,65.7,10863,10936,-,7.7,No,No,,
Staphylococcus phage VB_SavM_JYL01,MH159197.1,141384,3,Phe,GAA,64.0,10784,10856,-,7.6,No,No,,
Staphylococcus phage Maine,MN045228.1,141712,1,Asp,GTC,62.8,38081,38154,-,26.9,No,No,,
Staphylococcus phage Maine,MN045228.1,141712,2,Phe,GAA,64.0,38002,38074,-,26.8,No,No,,
Staphylococcus phage Maine,MN045228.1,141712,3,Ile2,CAT,63.1,16573,16644,-,11.7,No,Yes,,
Staphylococcus phage vB_SauM-515A1,MN047438.1,148511,1,Asp,GTC,62.8,37556,37629,-,25.3,No,No,,
Staphylococcus phage vB_SauM-515A1,MN047438.1,148511,2,Phe,GAA,64.0,37477,37549,-,25.2,No,No,,
Staphylococcus phage vB_SauM-515A1,MN047438.1,148511,3,Ile2,CAT,63.1,14327,14398,-,9.6,No,Yes,,
Staphylococcus phage Sb1_8383,MN336261.1,139606,1,Asp,GTC,62.8,30568,30641,-,21.9,No,No,,
Staphylococcus phage Sb1_8383,MN336261.1,139606,2,Phe,GAA,64.0,30489,30561,-,21.8,No,No,,
Staphylococcus phage Sb1_8383,MN336261.1,139606,3,Ile2,CAT,63.1,7193,7264,-,5.2,No,Yes,,
Staphylococcus phage Sb1M_6168,MN336262.1,138231,1,Asp,GTC,62.8,30568,30641,-,22.1,No,No,,
Staphylococcus phage Sb1M_6168,MN336262.1,138231,2,Phe,GAA,64.0,30489,30561,-,22.1,No,No,,
Staphylococcus phage Sb1M_6168,MN336262.1,138231,3,Ile2,CAT,63.1,7193,7264,-,5.2,No,Yes,,
Staphylococcus phage Sb1M_9832,MN336263.1,138231,1,Asp,GTC,62.8,30568,30641,-,22.1,No,No,,
Staphylococcus phage Sb1M_9832,MN336263.1,138231,2,Phe,GAA,64.0,30489,30561,-,22.1,No,No,,
Staphylococcus phage Sb1M_9832,MN336263.1,138231,3,Ile2,CAT,63.1,7193,7264,-,5.2,No,Yes,,
Staphylococcus phage Twort,NC_007021.1,130706,1,Ile2,CAT,67.1,107492,107563,-,82.2,No,Yes,,
Staphylococcus phage JD007,NC_019726.1,141836,1,Asp,GTC,62.8,50344,50417,+,35.5,No,No,,
Staphylococcus phage JD007,NC_019726.1,141836,2,Phe,GAA,64.0,50424,50496,+,35.6,No,No,,
Staphylococcus phage JD007,NC_019726.1,141836,3,Ile2,CAT,62.0,72975,73046,+,51.5,No,Yes,,
Staphylococcus aureus bacteriophage Sb-1,NC_023009.1,127188,1,Asp,GTC,62.8,30506,30579,-,24.0,No,No,,
Staphylococcus aureus bacteriophage Sb-1,NC_023009.1,127188,2,Phe,GAA,64.0,30427,30499,-,23.9,No,No,,
Staphylococcus aureus bacteriophage Sb-1,NC_023009.1,127188,3,Ile2,CAT,63.1,7193,7264,-,5.7,No,Yes,,
Staphylococcus phage Staph1N,NC_047722.1,145647,1,Asp,GTC,62.8,37574,37647,-,25.8,No,No,,
Staphylococcus phage Staph1N,NC_047722.1,145647,2,Phe,GAA,64.0,37495,37567,-,25.7,No,No,,
Staphylococcus phage Staph1N,NC_047722.1,145647,3,Ile2,CAT,63.1,14198,14269,-,9.7,No,Yes,,
Staphylococcus phage A3R,NC_047723.1,141018,1,Asp,GTC,62.8,37449,37522,-,26.6,No,No,,
Staphylococcus phage A3R,NC_047723.1,141018,2,Phe,GAA,64.0,37370,37442,-,26.5,No,No,,
Staphylococcus phage A3R,NC_047723.1,141018,3,Ile2,CAT,63.1,14073,14144,-,10.0,No,Yes,,
Staphylococcus phage 676Z,NC_047724.1,148564,1,Asp,GTC,62.8,38496,38569,-,25.9,No,No,,
Staphylococcus phage 676Z,NC_047724.1,148564,2,Phe,GAA,64.0,38417,38489,-,25.9,No,No,,
Staphylococcus phage 676Z,NC_047724.1,148564,3,Ile2,CAT,63.1,15120,15191,-,10.2,No,Yes,,
Staphylococcus phage Fi200W,NC_047725.1,148481,1,Asp,GTC,62.8,38452,38525,-,25.9,No,No,,
Staphylococcus phage Fi200W,NC_047725.1,148481,2,Phe,GAA,64.0,38373,38445,-,25.8,No,No,,
Staphylococcus phage Fi200W,NC_047725.1,148481,3,Ile2,CAT,63.1,15079,15150,-,10.2,No,Yes,,
Staphylococcus phage MSA6,NC_047726.1,148243,1,Asp,GTC,62.8,38094,38167,-,25.7,No,No,,
Staphylococcus phage MSA6,NC_047726.1,148243,2,Phe,GAA,64.0,38015,38087,-,25.6,No,No,,
Staphylococcus phage MSA6,NC_047726.1,148243,3,Ile2,CAT,63.1,14722,14793,-,9.9,No,Yes,,
Staphylococcus phage P4W,NC_047727.1,147590,1,Asp,GTC,62.8,37554,37627,-,25.4,No,No,,
Staphylococcus phage P4W,NC_047727.1,147590,2,Phe,GAA,64.0,37475,37547,-,25.4,No,No,,
Staphylococcus phage P4W,NC_047727.1,147590,3,Ile2,CAT,63.1,14181,14252,-,9.6,No,Yes,,
