Phage,Accession,Holin_Present,Holin_Evidence,Tail_Fiber_RBP_Present,RBP_Evidence,RBP_Count,annotation_qc,Annotation_Note
Staphylococcus phage A5W,EU418428.2,Yes,[holin] HolA,Yes,[tail fiber] gpORF069,1,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage qdsa002,KY779849.1,Yes,[holin] holin,No,—,0,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage vB_SauM-fRuSau02,MF398190.1,Yes,[holin] holin,Yes,[receptor binding protein] putative receptor binding protein,2,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage VB_SavM_JYL01,MH159197.1,Yes,[holin] holin,Yes,[tail fiber] putative tail fiber protein,1,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage Maine,MN045228.1,Yes,[holin] holin class II,Yes,[receptor binding protein] receptor binding protein,1,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage vB_SauM-515A1,MN047438.1,Yes,[holin] holin,Yes,[receptor binding protein] putative receptor binding protein 1,2,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage vB_SauP-436A1,MN150710.1,No,—,Yes,[tail fiber] tail fibers protein,2,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage Sb1_8383,MN336261.1,Yes,[holin] putative holin,No,—,0,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage Sb1M_6168,MN336262.1,Yes,[holin] putative holin,No,—,0,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage Sb1M_9832,MN336263.1,Yes,[holin] putative holin,No,—,0,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage Portland,MT926124.1,Yes,[holin] toxin secretion/lysis holin,Yes,[tail fiber] tail protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage Twort,NC_007021.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage EW,NC_007056.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,1,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage JD007,NC_019726.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage SA13,NC_021863.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,2,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus aureus bacteriophage Sb-1,NC_023009.1,Yes,[holin] holin,Yes,[tail fiber] tail fiber protein,3,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage Staph1N,NC_047722.1,Yes,[holin] HolA,Yes,[tail fiber] hypothetical protein,1,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage A3R,NC_047723.1,Yes,[holin] HolA,Yes,[tail fiber] hypothetical protein,1,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage 676Z,NC_047724.1,Yes,[holin] HolA,No,—,0,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage Fi200W,NC_047725.1,Yes,[holin] HolA,No,—,0,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage MSA6,NC_047726.1,Yes,[holin] HolA,No,—,0,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
Staphylococcus phage P4W,NC_047727.1,Yes,[holin] HolA,No,—,0,PASS,"Detection by GenBank text annotation only. 'No' may reflect incomplete annotation, not biological absence."
