"genome"	"species_cluster"	"genus_cluster"
"NC_007056_Aureus_phage_EW"	8	5
"NC_021863_Aureus_phage_SA13"	10	6
"MN150710_Aureus_phage_vB_SauP-436A1"	4	2
"MT926124_Aureus_phage_Portland"	5	2
"NC_055906_Staphylococcus_phage_vB_SauP_EBHT"	5	2
"MW248466_Staphylococcus_phage_MarsHill"	6	3
"NC_007021_Aureus_phage_Twort"	7	4
"KY779849_Aureus_phage_qdsa002"	2	1
"MH159197_Aureus_phage_VB_SavM_JYL01"	2	1
"MN045228_Aureus_phage_Maine"	3	1
"NC_019726_Aureus_phage_JD007"	9	1
"NC_023009_Aureus_phage_Sb-1"	11	1
"NC_047723_Aureus_phage_A3R"	12	1
"MN047438_Aureus_phage_vB_SauM-515A1"	1	1
"MF398190_Aureus_phage_vB_SauM-fRuSau02"	1	1
"NC_047726_Aureus_phage_MSA6"	1	1
"NC_047724_Aureus_phage_676Z"	1	1
"NC_047725_Aureus_phage_Fi200W"	1	1
"NC_047727_Aureus_phage_P4W"	1	1
"EU418428_Aureus_phage_A5W"	1	1
"NC_047722_Aureus_phage_Staph1N"	1	1
"MN336261_Aureus_phage_Sb1_8383"	1	1
"MN336262_Aureus_phage_Sb1M_6168"	1	1
"MN336263_Aureus_phage_Sb1M_9832"	1	1
