Phage,Accession,Class,Family,SubFamily,Genome_Size_bp,GC_Percent,CDS_Count,tRNA_Count,NCBI_Status,qc_status,qc_flags,annotation_present,duplicate_group,is_representative,taxonomy_flag,seq_md5,source_file
EU418428.2,EU418428.2,Caudoviricetes,Unassigned,Unassigned,145542,30.42,270,3,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,6f1c9464a15d2f9559cb1ff100837d9f,GenBank\Phold\EU418428_Aureus_phage_A5W.gbk
KY779849.1,KY779849.1,Caudoviricetes,Unassigned,Unassigned,142499,30.26,256,3,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,2ecb1081575ba8d20486853f3092b92c,GenBank\Phold\KY779849_Aureus_phage_qdsa002.gbk
MF398190.1,MF398190.1,Caudoviricetes,Unassigned,Unassigned,148464,30.22,275,3,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,0b4e6604f96406c5ffc92d9263e63df6,GenBank\Phold\MF398190_Aureus_phage_vB_SauM-fRuSau02.gbk
MH159197.1,MH159197.1,Caudoviricetes,Unassigned,Unassigned,141384,30.17,248,3,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,9c6bbd70c1a5bff7ca75c0e94a061d82,GenBank\Phold\MH159197_Aureus_phage_VB_SavM_JYL01.gbk
MN045228.1,MN045228.1,Caudoviricetes,Unassigned,Unassigned,141712,30.41,245,3,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,46922af9cc717b671d57401758e0ae2d,GenBank\Phold\MN045228_Aureus_phage_Maine.gbk
MN047438.1,MN047438.1,Caudoviricetes,Unassigned,Unassigned,148511,30.24,276,3,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,c85cf65dfb3b34844b8fc2c7c0298972,GenBank\Phold\MN047438_Aureus_phage_vB_SauM-515A1.gbk
MN150710.1,MN150710.1,Caudoviricetes,Unassigned,Unassigned,18028,29.34,22,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,d93430debb1eab13a7de5993b397a9c6,GenBank\Phold\MN150710_Aureus_phage_vB_SauP-436A1.gbk
MN336261.1,MN336261.1,Caudoviricetes,Unassigned,Unassigned,139606,30.4,251,3,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,ab2e1aedefe13310971791b3ee194bd8,GenBank\Phold\MN336261_Aureus_phage_Sb1_8383.gbk
MN336262.1,MN336262.1,Caudoviricetes,Unassigned,Unassigned,138231,30.43,244,3,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,8c2f90b857b87434ca796c621de4da22,GenBank\Phold\MN336262_Aureus_phage_Sb1M_6168.gbk
MN336263.1,MN336263.1,Caudoviricetes,Unassigned,Unassigned,138231,30.43,244,3,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,c4c713061540bce2fa0e338a7c21a6cb,GenBank\Phold\MN336263_Aureus_phage_Sb1M_9832.gbk
MT926124.1,MT926124.1,Caudoviricetes,Unassigned,Unassigned,17471,29.57,22,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,28f3a5296bf5b2d23502f0f591012f44,GenBank\Phold\MT926124_Aureus_phage_Portland.gbk
NC_007021.1,NC_007021.1,Caudoviricetes,Unassigned,Unassigned,130706,30.26,214,1,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,985549f557ef7f6d9f05b40146aaa061,GenBank\Phold\NC_007021_Aureus_phage_Twort.gbk
NC_007056.1,NC_007056.1,Caudoviricetes,Unassigned,Unassigned,45286,35.99,82,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,97b48f859ad08fdd6260c2215fe6e773,GenBank\Phold\NC_007056_Aureus_phage_EW.gbk
NC_019726.1,NC_019726.1,Caudoviricetes,Unassigned,Unassigned,141836,30.37,247,3,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,77d8dc7803b06a1d3828fa98d54005e5,GenBank\Phold\NC_019726_Aureus_phage_JD007.gbk
NC_021863.1,NC_021863.1,Caudoviricetes,Unassigned,Unassigned,42652,35.42,74,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,bc4b2b84b552df7dc0773838bc397b96,GenBank\Phold\NC_021863_Aureus_phage_SA13.gbk
NC_023009.1,NC_023009.1,Caudoviricetes,Unassigned,Unassigned,127188,30.48,215,3,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,73deb1acfd0b9fa719cae4a27753ab45,GenBank\Phold\NC_023009_Aureus_phage_Sb-1.gbk
NC_047722.1,NC_047722.1,Caudoviricetes,Unassigned,Unassigned,145647,30.41,270,3,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,d76ea67eaea8b5fe4070f12cde23e791,GenBank\Phold\NC_047722_Aureus_phage_Staph1N.gbk
NC_047723.1,NC_047723.1,Caudoviricetes,Unassigned,Unassigned,141018,30.5,252,3,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,84a9e147d107e236fc1129f3dbeed5bf,GenBank\Phold\NC_047723_Aureus_phage_A3R.gbk
NC_047724.1,NC_047724.1,Caudoviricetes,Unassigned,Unassigned,148564,30.41,274,3,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,532b7cf4f3b3d1da1ccf629f47cbae3d,GenBank\Phold\NC_047724_Aureus_phage_676Z.gbk
NC_047725.1,NC_047725.1,Caudoviricetes,Unassigned,Unassigned,148481,30.39,268,3,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,6695566f6f4566a7306a0f40353a03fd,GenBank\Phold\NC_047725_Aureus_phage_Fi200W.gbk
NC_047726.1,NC_047726.1,Caudoviricetes,Unassigned,Unassigned,148243,30.24,271,3,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,ca5a1eabb9152d8c8e3eef3030cbde31,GenBank\Phold\NC_047726_Aureus_phage_MSA6.gbk
NC_047727.1,NC_047727.1,Caudoviricetes,Unassigned,Unassigned,147590,30.39,269,3,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,764151909d90a37e4f11c48b0d4b9bc6,GenBank\Phold\NC_047727_Aureus_phage_P4W.gbk
