,EU418428.2_A5W,MF398190.1_vB_SauM_fRuSau02,MN047438.1_vB_SauM_515A1,MN336261.1_Sb1_8383,MN336262.1_Sb1M_6168,MN336263.1_Sb1M_9832,NC_019726.1_JD007,NC_023009.1_aureus_bacteriophage_Sb_1,NC_047722.1_Staph1N,NC_047723.1_A3R,NC_047724.1_676Z,NC_047725.1_Fi200W,NC_047727.1_P4W,KY779849.1_qdsa002,MH159197.1_VB_SavM_JYL01,MN045228.1_Maine,NC_047726.1_MSA6,NC_007021.1_Twort,NC_007056.1_EW,NC_021863.1_SA13
EU418428.2_A5W,,,,,,,,,,,,,,,,,,,,
MF398190.1_vB_SauM_fRuSau02,0,,,,,,,,,,,,,,,,,,,
MN047438.1_vB_SauM_515A1,0,0,,,,,,,,,,,,,,,,,,
MN336261.1_Sb1_8383,0,0,0,,,,,,,,,,,,,,,,,
MN336262.1_Sb1M_6168,0,0,0,0,,,,,,,,,,,,,,,,
MN336263.1_Sb1M_9832,0,0,0,0,0,,,,,,,,,,,,,,,
NC_019726.1_JD007,0,0,0,0,0,0,,,,,,,,,,,,,,
NC_023009.1_aureus_bacteriophage_Sb_1,0,0,0,0,0,0,0,,,,,,,,,,,,,
NC_047722.1_Staph1N,0,0,0,0,0,0,0,0,,,,,,,,,,,,
NC_047723.1_A3R,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
NC_047724.1_676Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
NC_047725.1_Fi200W,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
NC_047727.1_P4W,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
KY779849.1_qdsa002,0.001921789,0.001921789,0.001921789,0.001921789,0.001921789,0.001921789,0.001921789,0.001921789,0.001921789,0.001921789,0.001921789,0.001921789,0.001921789,,,,,,,
MH159197.1_VB_SavM_JYL01,0.001921789,0.001921789,0.001921789,0.001921789,0.001921789,0.001921789,0.001921789,0.001921789,0.001921789,0.001921789,0.001921789,0.001921789,0.001921789,0,,,,,,
MN045228.1_Maine,0.001923045,0.001923045,0.001923045,0.001923045,0.001923045,0.001923045,0.001923045,0.001923045,0.001923045,0.001923045,0.001923045,0.001923045,0.001923045,0.003844834,0.003844834,,,,,
NC_047726.1_MSA6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001921789,0.001921789,0.001923045,,,,
NC_007021.1_Twort,0.35665687,0.35665687,0.35665687,0.35665687,0.35665687,0.35665687,0.35665687,0.35665687,0.35665687,0.35665687,0.35665687,0.35665687,0.35665687,0.354735081,0.354735081,0.358579914,0.35665687,,,
NC_007056.1_EW,2.988201059,2.988201059,2.988201059,2.988201059,2.988201059,2.988201059,2.988201059,2.988201059,2.988201059,2.988201059,2.988201059,2.988201059,2.988201059,2.98627927,2.98627927,2.990124103,2.988201059,2.885145208,,
NC_021863.1_SA13,3.736487471,3.736487471,3.736487471,3.736487471,3.736487471,3.736487471,3.736487471,3.736487471,3.736487471,3.736487471,3.736487471,3.736487471,3.736487471,3.734565682,3.734565682,3.738410516,3.736487471,3.63343162,2.342149126,
