,EU418428.2|ACB89049.2,MF398190.1|AST15590.1,NC_047727.1|YP_009781687.1,MN336261.1|QIG56434.1,KY779849.1|ARQ96041.1,NC_047724.1|YP_009780991.1,NC_007056.1|YP_240182.1,NC_021863.1|YP_008320261.1,MN150710.1|QEA03128.1,MT926124.1|QOI69190.1,NC_007021.1|YP_238564.1
EU418428.2|ACB89049.2,100.0,100.0,99.8,100.0,99.39,98.99,40.82,41.68,41.22,42.21,20.26
MF398190.1|AST15590.1,100.0,100.0,100.0,100.0,99.52,97.61,50.73,53.17,48.98,48.98,18.75
NC_047727.1|YP_009781687.1,99.8,100.0,100.0,99.8,99.19,98.79,40.82,41.68,41.22,42.21,20.26
MN336261.1|QIG56434.1,100.0,100.0,99.8,100.0,99.39,98.99,40.91,41.77,41.22,42.21,20.3
KY779849.1|ARQ96041.1,99.39,99.52,99.19,99.39,100.0,98.38,41.04,41.47,41.22,42.21,20.26
NC_047724.1|YP_009780991.1,98.99,97.61,98.79,98.99,98.38,100.0,40.6,41.47,40.82,41.8,20.47
NC_007056.1|YP_240182.1,40.82,50.73,40.82,40.91,41.04,40.6,100.0,77.55,43.2,45.78,20.26
NC_021863.1|YP_008320261.1,41.68,53.17,41.68,41.77,41.47,41.47,77.55,100.0,44.58,46.77,21.18
MN150710.1|QEA03128.1,41.22,48.98,41.22,41.22,41.22,40.82,43.2,44.58,100.0,81.93,19.92
MT926124.1|QOI69190.1,42.21,48.98,42.21,42.21,42.21,41.8,45.78,46.77,81.93,100.0,20.0
NC_007021.1|YP_238564.1,20.26,18.75,20.26,20.3,20.26,20.47,20.26,21.18,19.92,20.0,100.0
