Phage,Accession,Protein_ID,Product,Length_aa,Subtype,Module,Depolymerase_Signal,Multidomain_Flag,Confidence,Mechanism,Product_Source,Length_Flag,InterPro_Domain,InterPro_Verdict,Was_S2_No,Evidence,Sequence_MD5,DepoScope_Score,DepoScope_Call,Method_Agreement
EU418428.2,EU418428.2,KZVKIRPW_CDS_0121,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',ec8328107821,,,
EU418428.2,EU418428.2,KZVKIRPW_CDS_0147,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"Protein of unknown function (DUF2977), Protein of unknown function DUF2977, Coil",uncertain,No,primary keyword: 'tail fiber',897855a16278,,,
EU418428.2,EU418428.2,KZVKIRPW_CDS_0148,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"ORF68-like, C-terminal domain, ORF68, C-terminal",uncertain,No,primary keyword: 'tail fiber',7bdd73e54115,,,
KY779849.1,KY779849.1,JDZSTRXW_CDS_0131,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',95b1e6e7fb88,,,
KY779849.1,KY779849.1,JDZSTRXW_CDS_0158,tail fiber protein,123,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"Protein of unknown function (DUF2977), Protein of unknown function DUF2977, Coil",uncertain,Yes,primary keyword: 'tail fiber',340376f4f5ec,,,
KY779849.1,KY779849.1,JDZSTRXW_CDS_0159,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"ORF68-like, C-terminal domain, ORF68, C-terminal",uncertain,Yes,primary keyword: 'tail fiber',59d2052c2fd1,,,
MF398190.1,MF398190.1,OLZRWPKP_CDS_0123,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',ec8328107821,,,
MF398190.1,MF398190.1,OLZRWPKP_CDS_0149,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',897855a16278,,,
MF398190.1,MF398190.1,OLZRWPKP_CDS_0150,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"ORF68-like, C-terminal domain, ORF68, C-terminal",uncertain,No,primary keyword: 'tail fiber',6b3656b3b074,,,
MH159197.1,MH159197.1,AGSGOGKS_CDS_0048,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',ec8328107821,,,
MH159197.1,MH159197.1,AGSGOGKS_CDS_0075,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"Coil, Protein of unknown function (DUF2977), Protein of unknown function DUF2977, consensus disorder prediction",uncertain,No,primary keyword: 'tail fiber',d0143f681fe1,,,
MH159197.1,MH159197.1,AGSGOGKS_CDS_0076,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"ORF68-like, C-terminal domain, ORF68, C-terminal",uncertain,No,primary keyword: 'tail fiber',985d8df3f84e,,,
MN045228.1,MN045228.1,VICBKDWT_CDS_0117,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',ec8328107821,,,
MN045228.1,MN045228.1,VICBKDWT_CDS_0144,tail fiber protein,123,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',340376f4f5ec,,,
MN045228.1,MN045228.1,VICBKDWT_CDS_0145,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"ORF68-like, C-terminal domain, ORF68, C-terminal",uncertain,No,primary keyword: 'tail fiber',52f52557b017,,,
MN047438.1,MN047438.1,KJCBGFSH_CDS_0121,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',ec8328107821,,,
MN047438.1,MN047438.1,KJCBGFSH_CDS_0147,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',897855a16278,,,
MN047438.1,MN047438.1,KJCBGFSH_CDS_0148,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"ORF68-like, C-terminal domain, ORF68, C-terminal",uncertain,No,primary keyword: 'tail fiber',5ff327ae1958,,,
MN336261.1,MN336261.1,OQGYJTQY_CDS_0096,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',ec8328107821,,,
MN336261.1,MN336261.1,OQGYJTQY_CDS_0122,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',897855a16278,,,
MN336261.1,MN336261.1,OQGYJTQY_CDS_0123,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',5ff327ae1958,,,
"MN336262.1 Staphylococcus phage Sb1M_6168, complete genome",MN336262.1,BXTYJNIB_CDS_0096,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',ec8328107821,,,
"MN336262.1 Staphylococcus phage Sb1M_6168, complete genome",MN336262.1,BXTYJNIB_CDS_0122,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',897855a16278,,,
"MN336262.1 Staphylococcus phage Sb1M_6168, complete genome",MN336262.1,BXTYJNIB_CDS_0123,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',5ff327ae1958,,,
"MN336263.1 Staphylococcus phage Sb1M_9832, complete genome",MN336263.1,TESJJVRS_CDS_0096,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',ec8328107821,,,
"MN336263.1 Staphylococcus phage Sb1M_9832, complete genome",MN336263.1,TESJJVRS_CDS_0122,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',897855a16278,,,
"MN336263.1 Staphylococcus phage Sb1M_9832, complete genome",MN336263.1,TESJJVRS_CDS_0123,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',5ff327ae1958,,,
NC_007021.1,NC_007021.1,ENNBSAYA_CDS_0014,tail fiber protein,303,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',0296cd8cbcf8,,,
NC_007021.1,NC_007021.1,ENNBSAYA_CDS_0044,tail fiber protein,121,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"consensus disorder prediction, Protein of unknown function (DUF2977), Protein of unknown function DUF2977",uncertain,No,primary keyword: 'tail fiber',b74f9b110b67,,,
NC_007021.1,NC_007021.1,ENNBSAYA_CDS_0045,tail fiber protein,442,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"ORF68-like, C-terminal domain, ORF68, C-terminal",uncertain,No,primary keyword: 'tail fiber',cf26b5c5746a,,,
NC_007056.1,NC_007056.1,KAZGTCGV_CDS_0023,tail fiber protein,110,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"YomQ N-terminal domain, YomQ, N-terminal domain",uncertain,No,primary keyword: 'tail fiber',97d7f4d000ec,,,
NC_019726.1,NC_019726.1,YBRHYEDY_CDS_0003,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"ORF68-like, C-terminal domain, ORF68, C-terminal",uncertain,No,primary keyword: 'tail fiber',fb7776214584,,,
NC_019726.1,NC_019726.1,YBRHYEDY_CDS_0004,tail fiber protein,123,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',340376f4f5ec,,,
NC_019726.1,NC_019726.1,YBRHYEDY_CDS_0031,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',602dfe9ada2e,,,
NC_021863.1,NC_021863.1,ETOBJHUS_CDS_0062,tail fiber protein,135,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"Coil, Protein of unknown function (DUF2977), Protein of unknown function DUF2977, consensus disorder prediction",uncertain,No,primary keyword: 'tail fiber',43cfb6d8c8c0,,,
NC_021863.1,NC_021863.1,ETOBJHUS_CDS_0066,tail fiber protein,390,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"consensus disorder prediction, BppU N-terminal domain, BppU, N-terminal",structural_tail,No,primary keyword: 'tail fiber',389d46f2e655,,,
NC_023009.1,NC_023009.1,WRIPWZIY_CDS_0098,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',ec8328107821,,,
NC_023009.1,NC_023009.1,WRIPWZIY_CDS_0125,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',897855a16278,,,
NC_023009.1,NC_023009.1,WRIPWZIY_CDS_0126,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',5ff327ae1958,,,
NC_047722.1,NC_047722.1,SAQOIGAH_CDS_0121,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',ec8328107821,,,
NC_047722.1,NC_047722.1,SAQOIGAH_CDS_0147,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',897855a16278,,,
NC_047722.1,NC_047722.1,SAQOIGAH_CDS_0148,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',7bdd73e54115,,,
NC_047723.1,NC_047723.1,ZBEUHSDN_CDS_0119,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',ec8328107821,,,
NC_047723.1,NC_047723.1,ZBEUHSDN_CDS_0147,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',897855a16278,,,
NC_047723.1,NC_047723.1,ZBEUHSDN_CDS_0148,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"ORF68-like, C-terminal domain, ORF68, C-terminal",uncertain,No,primary keyword: 'tail fiber',860ebaf3b5c7,,,
NC_047724.1,NC_047724.1,PMGJCEZU_CDS_0122,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',ec8328107821,,,
NC_047724.1,NC_047724.1,PMGJCEZU_CDS_0150,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',897855a16278,,,
NC_047724.1,NC_047724.1,PMGJCEZU_CDS_0151,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',860ebaf3b5c7,,,
