Description	Count	Contig
CDS	244	MN336262.1
connector	1	MN336262.1
DNA, RNA and nucleotide metabolism	36	MN336262.1
head and packaging	19	MN336262.1
integration and excision	0	MN336262.1
lysis	5	MN336262.1
moron, auxiliary metabolic gene and host takeover	12	MN336262.1
other	19	MN336262.1
tail	15	MN336262.1
transcription regulation	4	MN336262.1
unknown function	133	MN336262.1
VFDB_Virulence_Factors	0	MN336262.1
CARD_AMR	0	MN336262.1
ACR_anti_crispr	0	MN336262.1
Defensefinder	0	MN336262.1
Netflax	0	MN336262.1
