Phage,Accession,Genome size (kb),Holin — deposited GenBank,Holin — Pharokka,Holin — Phold,RBP — deposited GenBank,RBP — Pharokka,RBP — Phold,RBP loci (GenBank / Pharokka / Phold),Union call (holin; RBP)
676Z,NC_047724.1,148.6,Yes,Yes,Yes,No,Yes,Yes,0 / 3 / 3,Yes; Yes
vB_SauM-515A1,MN047438.1,148.5,Yes,Yes,Yes,Yes,Yes,Yes,2 / 3 / 3,Yes; Yes
Fi200W,NC_047725.1,148.5,Yes,Yes,Yes,No,Yes,Yes,0 / 3 / 3,Yes; Yes
vB_SauM-fRuSau02,MF398190.1,148.5,Yes,Yes,Yes,Yes,Yes,Yes,2 / 3 / 3,Yes; Yes
MSA6,NC_047726.1,148.2,Yes,Yes,Yes,No,Yes,Yes,0 / 3 / 3,Yes; Yes
P4W,NC_047727.1,147.6,Yes,Yes,Yes,No,Yes,Yes,0 / 3 / 3,Yes; Yes
Staph1N,NC_047722.1,145.6,Yes,Yes,Yes,Yes,Yes,Yes,1 / 3 / 3,Yes; Yes
A5W,EU418428.2,145.5,Yes,Yes,Yes,Yes,Yes,Yes,1 / 3 / 3,Yes; Yes
qdsa002,KY779849.1,142.5,Yes,Yes,Yes,No,Yes,Yes,0 / 3 / 3,Yes; Yes
JD007,NC_019726.1,141.8,Yes,Yes,Yes,Yes,Yes,Yes,3 / 3 / 3,Yes; Yes
Maine,MN045228.1,141.7,Yes,Yes,Yes,Yes,Yes,Yes,1 / 3 / 3,Yes; Yes
VB_SavM_JYL01,MH159197.1,141.4,Yes,Yes,Yes,Yes,Yes,Yes,1 / 3 / 3,Yes; Yes
A3R,NC_047723.1,141,Yes,Yes,Yes,Yes,Yes,Yes,1 / 3 / 3,Yes; Yes
Sb1_8383,MN336261.1,139.6,Yes,Yes,Yes,No,Yes,Yes,0 / 3 / 3,Yes; Yes
Sb1M_6168,MN336262.1,138.2,Yes,Yes,Yes,No,Yes,Yes,0 / 3 / 3,Yes; Yes
Sb1M_9832,MN336263.1,138.2,Yes,Yes,Yes,No,Yes,Yes,0 / 3 / 3,Yes; Yes
Twort,NC_007021.1,130.7,Yes,Yes,Yes,Yes,Yes,Yes,3 / 3 / 3,Yes; Yes
Sb-1,NC_023009.1,127.2,Yes,Yes,Yes,Yes,Yes,Yes,3 / 3 / 3,Yes; Yes
EW,NC_007056.1,45.3,Yes,Yes,Yes,Yes,Yes,Yes,1 / 1 / 2,Yes; Yes
SA13,NC_021863.1,42.7,Yes,Yes,Yes,Yes,Yes,Yes,2 / 2 / 2,Yes; Yes
vB_SauP-436A1,MN150710.1,18,No,Yes,Yes,Yes,No,No,2 / 0 / 0,Yes; Yes
Portland,MT926124.1,17.5,Yes,Yes,Yes,Yes,No,No,3 / 0 / 0,Yes; Yes
