Accession,N_codons,GC3_phage_pct,GC3_host_pct,Pearson_r,Spearman_rho,Mean_abs_dRSCU
MN150710.1,5631,21.28,22.73,0.9722,0.9559,0.1805
MT926124.1,5551,21.31,22.73,0.97,0.9455,0.1712
NC_007056.1,14315,30.62,22.73,0.9493,0.9285,0.2083
NC_021863.1,13140,29.85,22.73,0.9265,0.9226,0.2188
NC_007021.1,39026,20.37,22.73,0.8808,0.7968,0.287
MH159197.1,42221,18.73,22.73,0.8539,0.8144,0.2886
KY779849.1,42829,19.18,22.73,0.8528,0.8086,0.2863
NC_019726.1,41684,18.98,22.73,0.8517,0.8174,0.2855
MN045228.1,42812,19.19,22.73,0.8495,0.8123,0.2886
NC_023009.1,36532,18.71,22.73,0.848,0.8072,0.2903
MN336263.1,35641,18.76,22.73,0.8478,0.8082,0.2904
MN336261.1,36565,18.74,22.73,0.8478,0.8079,0.2907
NC_047725.1,43881,19.45,22.73,0.8475,0.8079,0.2892
NC_047723.1,41696,19.42,22.73,0.8474,0.8101,0.2886
EU418428.2,43214,19.47,22.73,0.8471,0.8085,0.2882
MN336262.1,35865,18.7,22.73,0.847,0.8052,0.2905
NC_047722.1,43254,19.47,22.73,0.847,0.8085,0.2883
NC_047726.1,43777,19.28,22.73,0.8462,0.8123,0.2884
NC_047724.1,43904,19.42,22.73,0.8461,0.8084,0.2907
NC_047727.1,43606,19.43,22.73,0.8461,0.8077,0.2912
MF398190.1,43410,19.21,22.73,0.8457,0.8126,0.2888
MN047438.1,43526,19.17,22.73,0.8436,0.8115,0.29
