Phage,Accession,Protein_ID,Product,Length_aa,Subtype,Module,Depolymerase_Signal,Multidomain_Flag,Confidence,Mechanism,Product_Source,Length_Flag,InterPro_Domain,InterPro_Verdict,Was_S2_No,Evidence,Sequence_MD5,DepoScope_Score,DepoScope_Call,Method_Agreement
Staphylococcus phage A5W,EU418428.2,ACB89065.1,gpORF072,278,putative_rbp,host_recognition,none,,putative,extended,note/gene_qualifier,normal,,no_domain,No,extended keyword: 'baseplate hub',516106123cfd,,,
Staphylococcus phage A5W,EU418428.2,ACB89062.1,gpORF069,302,tail_fiber,host_recognition,none,,confirmed,primary,note/gene_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',ec8328107821,,,
Staphylococcus phage vB_SauM-fRuSau02,MF398190.1,AST15641.1,putative receptor binding protein,640,rbp_annotated,host_recognition,none,,confirmed,primary,product_qualifier,normal,"Carbohydrate binding domain, Carbohydrate-binding, CenC-like, pyocin_knob",uncertain,No,primary keyword: 'receptor binding protein',58528e176d67,,,
Staphylococcus phage vB_SauM-fRuSau02,MF398190.1,AST15643.1,putative receptor binding protein,458,rbp_annotated,host_recognition,none,,confirmed,primary,product_qualifier,normal,"ORF68-like, C-terminal domain, ORF68, C-terminal",uncertain,No,primary keyword: 'receptor binding protein',6b3656b3b074,,,
Staphylococcus phage VB_SavM_JYL01,MH159197.1,AXU40069.1,putative tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"ORF68-like, C-terminal domain, ORF68, C-terminal",uncertain,No,primary keyword: 'tail fiber',985d8df3f84e,,,
Staphylococcus phage Maine,MN045228.1,QEM41281.1,N-glycosidase YbiA-like protein,162,depolymerase,depolymerase,glycoside_hydrolase,,putative,depolymerase,product_qualifier,normal,"NADAR domain, NADAR, conserved hypothetical protein, YbiA-like superfamily, YbiA-like",uncertain,No,depolymerase keyword: class='glycoside_hydrolase',2fddb363c920,,,
Staphylococcus phage Maine,MN045228.1,QEM41374.1,receptor binding protein,458,rbp_annotated,host_recognition,none,,confirmed,primary,product_qualifier,normal,"ORF68-like, C-terminal domain, ORF68, C-terminal",uncertain,No,primary keyword: 'receptor binding protein',52f52557b017,,,
Staphylococcus phage vB_SauM-515A1,MN047438.1,QEA03003.1,putative receptor binding protein 1,640,rbp_annotated,host_recognition,none,,confirmed,primary,product_qualifier,normal,"pyocin_knob, Carbohydrate binding domain, Carbohydrate-binding, CenC-like",uncertain,No,primary keyword: 'receptor binding protein',092676f9d1db,,,
Staphylococcus phage vB_SauM-515A1,MN047438.1,QEA03005.1,putative receptor binding protein 2,458,rbp_annotated,host_recognition,none,,confirmed,primary,product_qualifier,normal,"ORF68-like, C-terminal domain, ORF68, C-terminal",uncertain,No,primary keyword: 'receptor binding protein',5ff327ae1958,,,
Staphylococcus phage vB_SauP-436A1,MN150710.1,QEA03126.1,tail fibers protein,587,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"Caudoviral major tail protein N-terminus, Tail knob protein gp9, N-terminal, Bacillus phage phi29, Tail knob protein gp9, C-terminal domain, Tail knob protein gp9, C-terminal domain",structural_tail,No,primary keyword: 'tail fiber',8c6b1ad744ad,,,
