Protein,Full_ID,Domain,Signature,Database,Start,End,Domain_Length_aa,Protein_Length_aa
EU418428.2|ACB89049.2,EU418428.2|ACB89049.2|Staphylococcus_phage_A5W|status=free-endolysin|LysK|shared_by=5,CHAP,PS50911,ProSiteProfiles,29,160,132,495
KY779849.1|ARQ96041.1,KY779849.1|ARQ96041.1|Staphylococcus_phage_qdsa002|status=free-endolysin|lysin|shared_by=2,CHAP,PS50911,ProSiteProfiles,29,160,132,495
MN150710.1|QEA03128.1,MN150710.1|QEA03128.1|Staphylococcus_phage_vB_SauP-436A1|status=free-endolysin|N-acetylmuramoyl-L-alanine,CHAP,PS50911,ProSiteProfiles,4,134,131,250
MN336261.1|QIG56434.1,MN336261.1|QIG56434.1|Staphylococcus_phage_Sb1_8383|status=free-endolysin|putative,CHAP,PS50911,ProSiteProfiles,29,160,132,494
MT926124.1|QOI69190.1,MT926124.1|QOI69190.1|Staphylococcus_phage_Portland|status=free-endolysin|lysin|shared_by=1,CHAP,PS50911,ProSiteProfiles,4,134,131,249
NC_007056.1|YP_240182.1,NC_007056.1|YP_240182.1|Staphylococcus_phage_EW|status=divergent-endolysin|endolysin|shared_by=1,CHAP,PS50911,ProSiteProfiles,7,148,142,482
NC_021863.1|YP_008320261.1,NC_021863.1|YP_008320261.1|Staphylococcus_phage_SA13|status=free-endolysin|endolysin|shared_by=1,CHAP,PS50911,ProSiteProfiles,7,148,142,481
NC_047724.1|YP_009780991.1,NC_047724.1|YP_009780991.1|Staphylococcus_phage_676Z|status=free-endolysin|LysK|shared_by=1,CHAP,PS50911,ProSiteProfiles,29,160,132,495
NC_047727.1|YP_009781687.1,NC_047727.1|YP_009781687.1|Staphylococcus_phage_P4W|status=free-endolysin|LysK|shared_by=1,CHAP,PS50911,ProSiteProfiles,29,160,132,495
EU418428.2|ACB89049.2,EU418428.2|ACB89049.2|Staphylococcus_phage_A5W|status=free-endolysin|LysK|shared_by=5,Amidase,G3DSA:3.40.80.10,Gene3D,189,373,185,495
KY779849.1|ARQ96041.1,KY779849.1|ARQ96041.1|Staphylococcus_phage_qdsa002|status=free-endolysin|lysin|shared_by=2,Amidase,G3DSA:3.40.80.10,Gene3D,189,373,185,495
MF398190.1|AST15590.1,MF398190.1|AST15590.1|Staphylococcus_phage_vB_SauM-fRuSau02|status=intron-split|lysin|shared_by=2,Amidase,G3DSA:3.40.80.10,Gene3D,1,87,87,209
MN336261.1|QIG56434.1,MN336261.1|QIG56434.1|Staphylococcus_phage_Sb1_8383|status=free-endolysin|putative,Amidase,G3DSA:3.40.80.10,Gene3D,189,372,184,494
NC_007056.1|YP_240182.1,NC_007056.1|YP_240182.1|Staphylococcus_phage_EW|status=divergent-endolysin|endolysin|shared_by=1,Amidase,G3DSA:3.40.80.10,Gene3D,183,363,181,482
NC_021863.1|YP_008320261.1,NC_021863.1|YP_008320261.1|Staphylococcus_phage_SA13|status=free-endolysin|endolysin|shared_by=1,Amidase,G3DSA:3.40.80.10,Gene3D,181,362,182,481
NC_047724.1|YP_009780991.1,NC_047724.1|YP_009780991.1|Staphylococcus_phage_676Z|status=free-endolysin|LysK|shared_by=1,Amidase,G3DSA:3.40.80.10,Gene3D,189,373,185,495
NC_047727.1|YP_009781687.1,NC_047727.1|YP_009781687.1|Staphylococcus_phage_P4W|status=free-endolysin|LysK|shared_by=1,Amidase,G3DSA:3.40.80.10,Gene3D,189,373,185,495
EU418428.2|ACB89049.2,EU418428.2|ACB89049.2|Staphylococcus_phage_A5W|status=free-endolysin|LysK|shared_by=5,SH3b,G3DSA:2.30.30.40,Gene3D,390,495,106,495
KY779849.1|ARQ96041.1,KY779849.1|ARQ96041.1|Staphylococcus_phage_qdsa002|status=free-endolysin|lysin|shared_by=2,SH3b,G3DSA:2.30.30.40,Gene3D,390,495,106,495
MF398190.1|AST15590.1,MF398190.1|AST15590.1|Staphylococcus_phage_vB_SauM-fRuSau02|status=intron-split|lysin|shared_by=2,SH3b,G3DSA:2.30.30.40,Gene3D,104,209,106,209
MN150710.1|QEA03128.1,MN150710.1|QEA03128.1|Staphylococcus_phage_vB_SauP-436A1|status=free-endolysin|N-acetylmuramoyl-L-alanine,SH3b,G3DSA:2.30.30.40,Gene3D,146,250,105,250
MN336261.1|QIG56434.1,MN336261.1|QIG56434.1|Staphylococcus_phage_Sb1_8383|status=free-endolysin|putative,SH3b,G3DSA:2.30.30.40,Gene3D,389,494,106,494
MT926124.1|QOI69190.1,MT926124.1|QOI69190.1|Staphylococcus_phage_Portland|status=free-endolysin|lysin|shared_by=1,SH3b,G3DSA:2.30.30.40,Gene3D,146,249,104,249
NC_007056.1|YP_240182.1,NC_007056.1|YP_240182.1|Staphylococcus_phage_EW|status=divergent-endolysin|endolysin|shared_by=1,SH3b,G3DSA:2.30.30.40,Gene3D,377,482,106,482
NC_021863.1|YP_008320261.1,NC_021863.1|YP_008320261.1|Staphylococcus_phage_SA13|status=free-endolysin|endolysin|shared_by=1,SH3b,G3DSA:2.30.30.40,Gene3D,376,481,106,481
NC_047724.1|YP_009780991.1,NC_047724.1|YP_009780991.1|Staphylococcus_phage_676Z|status=free-endolysin|LysK|shared_by=1,SH3b,G3DSA:2.30.30.40,Gene3D,390,495,106,495
NC_047727.1|YP_009781687.1,NC_047727.1|YP_009781687.1|Staphylococcus_phage_P4W|status=free-endolysin|LysK|shared_by=1,SH3b,G3DSA:2.30.30.40,Gene3D,390,495,106,495
