Phage,Accession,Protein_ID,Product,Length_aa,Inferred_Domain,InterPro_Domain,InterPro_Verdict,Classification,Selected,tBLASTn_Identity_pct,tBLASTn_Note,Runtime_Flag,shared_by,Evidence
Staphylococcus phage A5W,EU418428.2,ACB89049.2,LysK,495,Amidase,"CHAP domain, IPR007921, ami_2, IPR002502, N-acetylmuramoyl-L-alanine amidase domain, N-acetylmuramoyl-L-alanine amidase-like, IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, N-acetylmuramoyl-L-alanine amidase, sh3_bac_9, IPR003646, SH3-like domain, bacterial-type, SH3 Domains, CHAP domain profile., Bacterial SH3 domain, PGRP, consensus disorder prediction, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, endopeptidase domain like (from Nostoc punctiforme)",confirmed-endolysin,free-endolysin,Yes,,,,NC_047722.1;NC_047723.1;NC_047725.1;NC_047726.1,matched 'LysK'; inferred Amidase; free-endolysin (top of 3 candidate(s))
Staphylococcus phage A5W,EU418428.2,AHL83342.1,TmpD,808,Hydrolase (unspecified — verify; may be non-PG),,,vaph,No,,,,,
Staphylococcus phage A5W,EU418428.2,ACB89077.1,TmpE,295,Peptidoglycan hydrolase,,,vaph,No,,,,,
Staphylococcus phage qdsa002,KY779849.1,ARQ96041.1,lysin,495,LysK-type (unspecified),"IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, ami_2, IPR002502, N-acetylmuramoyl-L-alanine amidase domain, CHAP domain, IPR007921, N-acetylmuramoyl-L-alanine amidase, sh3_bac_9, IPR003646, SH3-like domain, bacterial-type, SH3 Domains, CHAP domain profile., Bacterial SH3 domain, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, PGRP, endopeptidase domain like (from Nostoc punctiforme), consensus disorder prediction, N-acetylmuramoyl-L-alanine amidase-like",confirmed-endolysin,free-endolysin,Yes,,,,MH159197.1,matched 'lysin'; inferred LysK-type (unspecified); free-endolysin (top of 4 candidate(s))
Staphylococcus phage qdsa002,KY779849.1,ARQ96000.1,putative lipase/acylhydrolase domain-containing protein,616,Hydrolase (unspecified — verify; may be non-PG),,,uncertain,No,,,,,
Staphylococcus phage qdsa002,KY779849.1,ARQ96080.1,putative tail lysin,1351,LysK-type (unspecified),,,vaph,No,,,,,
Staphylococcus phage qdsa002,KY779849.1,ARQ96081.1,putative tail lysin,808,LysK-type (unspecified),,,vaph,No,,,,,
Staphylococcus phage vB_SauM-fRuSau02,MF398190.1,AST15590.1,lysin,209,Amidase,"consensus disorder prediction, Bacterial SH3 domain, IPR003646, SH3-like domain, bacterial-type, sh3_bac_9, IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, N-acetylmuramoyl-L-alanine amidase-like, N-acetylmuramoyl-L-alanine amidase, SH3 Domains",confirmed-endolysin,intron-split,Yes,,lysK.1 N-terminal amidase moiety (~209 aa); same architecture as MN047438.,intron-split,MN047438.1,matched 'Amidase'; validated status 'intron-split' (curation registry)
Staphylococcus phage vB_SauM-fRuSau02,MF398190.1,AST15592.1,lysin,267,Amidase,,,vaph,No,,,intron-split,,
Staphylococcus phage vB_SauM-fRuSau02,MF398190.1,AST15630.1,tail murein hydrolase,808,Hydrolase (unspecified — verify; may be non-PG),,,vaph,No,,,intron-split,,
Staphylococcus phage vB_SauM-fRuSau02,MF398190.1,AST15631.1,putative peptidoglycan hydrolase,295,Peptidoglycan hydrolase,,,vaph,No,,,intron-split,,
Staphylococcus phage VB_SavM_JYL01,MH159197.1,AXU40019.1,lysin,495,LysK-type (unspecified),,,free-endolysin,Yes,,,,KY779849.1,matched 'lysin'; inferred LysK-type (unspecified); free-endolysin (top of 4 candidate(s))
Staphylococcus phage VB_SavM_JYL01,MH159197.1,AXU40056.1,N-acetylmuramoyl-L-alanine amidase,808,Amidase,,,vaph,No,,,,,
Staphylococcus phage VB_SavM_JYL01,MH159197.1,AXU40201.1,lipase acylhydrolase domain protein,622,Hydrolase (unspecified — verify; may be non-PG),,,uncertain,No,,,,,
Staphylococcus phage VB_SavM_JYL01,MH159197.1,AXU40211.1,peptidase membrane protein,176,Peptidase (unspecified — verify),,,uncertain,No,,,,,
Staphylococcus phage Maine,MN045228.1,QEM41281.1,N-glycosidase YbiA-like protein,162,NADAR/YbiA (non-lytic),,,non-lytic,No,,,,,
Staphylococcus phage Maine,MN045228.1,QEM41284.1,lipase acylhydrolase domain protein,616,Hydrolase (unspecified — verify; may be non-PG),,,uncertain,No,,,,,
Staphylococcus phage Maine,MN045228.1,QEM41304.1,NTP pyrophosphohydrolase,100,Hydrolase (unspecified — verify; may be non-PG),,,non-endolysin,No,,,,,
Staphylococcus phage Maine,MN045228.1,QEM41309.1,peptidoglycan-binding protein,57,Peptidoglycan hydrolase,,,free-endolysin,No,,,,,
Staphylococcus phage Maine,MN045228.1,QEM41323.1,endolysin N-acetylmuramoyl-L-alanine amidase,495,Amidase,,,free-endolysin,No,,,,,
Staphylococcus phage Maine,MN045228.1,QEM41359.1,tail assembly chaperone,346,CHAP,,,non-endolysin,No,,,,,
Staphylococcus phage Maine,MN045228.1,QEM41358.1,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
Staphylococcus phage Maine,MN045228.1,QEM41361.1,tail lysin,808,LysK-type (unspecified),,,vaph,No,,,,,
Staphylococcus phage vB_SauM-515A1,MN047438.1,QEA02953.1,lysin,209,LysK-type (unspecified),,,intron-split,Yes,,"lysK.1 N-terminal amidase moiety (~209 aa); full LysK ~495 aa across a self-splicing intron (Kornienko 2020, Viruses, TU16).",intron-split,MF398190.1,matched 'LysK-type (unspecified)'; validated status 'intron-split' (curation registry)
Staphylococcus phage vB_SauM-515A1,MN047438.1,QEA02955.1,lysin,267,LysK-type (unspecified),,,free-endolysin,No,,,intron-split,,
Staphylococcus phage vB_SauM-515A1,MN047438.1,QEA02992.1,tail murein hydrolase,808,Peptidase (unspecified — verify),,,vaph,No,,,intron-split,,
Staphylococcus phage vB_SauM-515A1,MN047438.1,QEA02993.1,putative peptidoglycan hydrolase,295,Peptidoglycan hydrolase,,,free-endolysin,No,,,intron-split,,
Staphylococcus phage vB_SauP-436A1,MN150710.1,QEA03128.1,N-acetylmuramoyl-L-alanine amidase,250,Amidase,"endopeptidase domain like (from Nostoc punctiforme), CHAP domain, IPR007921, Bacterial SH3 domain, IPR003646, SH3-like domain, bacterial-type, CHAP domain profile., Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, SH3 Domains",confirmed-endolysin,free-endolysin,Yes,,,,,matched 'N-acetylmuramoyl-L-alanine ami'; inferred Amidase; free-endolysin (top of 1 candidate(s))
Staphylococcus phage Sb1_8383,MN336261.1,QIG56434.1,putative endolysin,494,LysK-type (unspecified),"N-acetylmuramoyl-L-alanine amidase-like, IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, CHAP domain, IPR007921, PGRP, IPR002502, N-acetylmuramoyl-L-alanine amidase domain, N-acetylmuramoyl-L-alanine amidase, SH3 Domains, CHAP domain profile., consensus disorder prediction, ami_2, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, Bacterial SH3 domain, IPR003646, SH3-like domain, bacterial-type, sh3_bac_9, endopeptidase domain like (from Nostoc punctiforme)",confirmed-endolysin,free-endolysin,Yes,,,,NC_023009.1,matched 'putative endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 1 candidate(s))
Staphylococcus phage Portland,MT926124.1,QOI69190.1,lysin,249,LysK-type (unspecified),"endopeptidase domain like (from Nostoc punctiforme), Bacterial SH3 domain, IPR003646, SH3-like domain, bacterial-type, SH3 Domains, CHAP domain profile., IPR007921, CHAP domain, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily",confirmed-endolysin,free-endolysin,Yes,,,,,matched 'lysin'; inferred LysK-type (unspecified); free-endolysin (top of 2 candidate(s))
Staphylococcus phage Portland,MT926124.1,QOI69186.1,CHAP domain protein,479,CHAP,,,free-endolysin,No,,,,,
